User Type,Username,Date,Text
,hgurgel,2012-01-21T16:28Z,"Valeu pelo torrent, estou baixando, um abraço!"
neral
Complete name                  : O.Brado.Retumbante.E01.HDTV.XviD_PFSitonio.avi
Format                         : AVI
Format/Info                    : Audio Video Interleave
File size                      : 376 MiB
Duration                       : 46mn 41s
Overall bit rate               : 1 126 Kbps
Writing library                : VirtualDub-MPEG2 build 24586/release

Video
ID                             : 0
Format                         : MPEG-4 Visual
Format profile                 : Advanced Simple@L5
Format settings, BVOP          : 2
Format settings, QPel          : No
Format settings, GMC           : No warppoints
Format settings, Matrix        : Default (H.263)
Codec ID                       : XVID
Codec ID/Hint                  : XviD
Duration                       : 46mn 41s
Bit rate                       : 944 Kbps
Width                          : 720 pixels
Height                         : 400 pixels
Display aspect ratio           : 16:9
Frame rate                     : 29.970 fps
Color space                    : YUV
Chroma subsampling             : 4:2:0
Bit depth                      : 8 bits
Scan type                      : Progressive
Compression mode               : Lossy
Bits/(Pixel*Frame)             : 0.109
Stream size                    : 315 MiB (84%)
Writing library                : XviD 1.2.1 (UTC 2008-12-04)

Audio
ID                             : 1
Format                         : MPEG Audio
Format version                 : Version 1
Format profile                 : Layer 3
Mode                           : Joint stereo
Codec ID                       : 55
Codec ID/Hint                  : MP3
Duration                       : 46mn 41s
Bit rate mode                  : Constant
Bit rate                       : 128 Kbps
Channel(s)                     : 2 channels
Sampling rate                  : 48.0 KHz
Compression mode               : Lossy
Stream size                    : 42.7 MiB (11%)
Alignment                      : Split accross interleaves
Writing library                : LAME3.98r
Encoding settings              : -m j -V 4 -q 2 -lowpass 17 -b 128"
