
23 Wii Dance Games in .wbfs


S2EE41	ABBA You Can Dance 
SQ2EPZ	Country Dance 
SDZP41	Dance Juniors 
SBYE41	Dance On Broadway 
R9RPNG	Dance Party Pop Hits 
SDEE5G	Dance Sensation 
RD4EA4	DanceDanceRevolution Hottest Party 2 
SDYPA4	DanceDanceRevolution hottest party 4 
RW6PA4	DanceDanceRevolution Winx Club 
RDNEA4	DDR Disney Grooves 
SCWE41	Gold s Gym Dance Workout 
SD2P41	Just Dance 2 
SJDE41	Just Dance 3 
SDZE41	Just Dance Kids 
SKBEG9	KIDZ BOP DANCE PARTY THE VIDEO GAME 
SLDPLG	Let s Dance With Mel B 
SMOP41	MICHAEL JACKSON THE EXPERIENCE 
SM6PNK	My BodyCoach 2 
SNOPY1	Now The Game 
SEPZ41	THE BEP EXPERIENCE SE 
SDUP41	The Smurfs Dance Party 
SDSPNG	We Dance 
SZ5E5G	Zumba 

