
Abby McDonald	 - The Liberation of Alice Love	 [5]
Adam Goodheart	 - 1861: The Civil War Awakening	 [5]
Agatha Christie	 - Murder on the Orient Express: A Hercule Poirot Mystery	 [4]
Alan Jacobson	 - The 7th Victim	 [5]
Alessandro Alciato, Carlo Ancelotti, Paolo Maldini	 - Carlo Ancelotti: The Beautiful Games of an Ordinary Genius	 [5]
Alexander Yates	 - Moondogs	 [5]
Alfred Alcorn	 - The Counterfeit Murder in the Museum of Man: A Norman De Ratour Mystery	 [5]
Alfred Alcorn	 - The Love Potion Murders in the Museum of Man: A Norman De Ratour Mystery	 [5]
Alyson NoÃ«l	 - Evermore	 [5]
Amanda Hodgkinson	 - 22 Britannia Road	 [5]
Amanda Quick, Jayne Ann Krentz	 - Quicksilver	 [5]
Amy Ephron	 - A Cup of Tea	 [5]
Andrea Chesman	 - Recipes From the Root Cellar: 270 Fresh Ways to Enjoy Winter Vegetables	 [5]
Andrews, Ilona	 - Bayou Moon	 [5]
Andy Mulligan	 - Trash	 [5]
Annabel Lyon	 - The Golden Mean	 [5]
Anne McCaffrey, Elizabeth Ann Scarborough	 - Power Play	 [5]
Anne Michaels	 - The Winter Vault	 [5]
Anne Perry	 - A sudden, fearful death	 [5]
Anne Perry	 - Angels in the Gloom: A Novel	 [5]
Anne Perry	 - Anne Perry's Silent Nights: Two Victorian Christmas Mysteries	 [5]
Anne Perry	 - At Some Disputed Barricade: A Novel	 [5]
Anne Perry	 - No Graves as Yet: A Novel	 [5]
Anne Perry	 - Shoulder the Sky: A Novel	 [5]
Anne Perry	 - The Sins of the Wolf	 [5]
Anne Perry	 - The William Monk Mysteries: The First Three Novels	 [5]
Anne Perry	 - We Shall Not Sleep	 [5]
Anne Perry	 - Weighed in the balance	 [5]
Anne Tyler, Jennifer Bassett	 - The Accidental Tourist	 [5]
Annie Dillard	 - An American Childhood	 [5]
Annie Dillard	 - An American Childhood	 [5]
Anthony Horowitz	 - Crocodile Tears	 [5]
Anton Chekhov, Robert Payne	 - Forty Stories	 [5]
Arthur Conan Doyle, Agatha Christie, Charles Dickens, Honore De Balzac, Wilkie Collins, Mary Roberts Rinehart, Edgar Allan Poe, Gilbert Keith Chesterton, Sax Rohmer, Anna Katharine Green	 - The Classic Mystery Collection	 [5]
B.J. Daniels	 - Crime Scene at Cardwell Ranch	 [5]
Barbara Hambly	 - A Free Man of Color	 [5]
Bekka Black	 - IDrakula	 [5]
Ben Yagoda	 - When You Catch an Adjective, Kill It: The Parts of Speech, for Better And/Or Worse	 [5]
Betty White	 - If You Ask Me	 [5]
Beverly Barton	 - Dead by Midnight	 [5]
Bill Adler, Bill Adler Jr.	 - The Wit and Wisdom of Ted Kennedy	 [5]
Bill Hayes	 - Five Quarts: A Personal and Natural History of Blood	 [5]
Bill Lee, Richard Lally, Dick Lally	 - Have Glove, Will Travel: Adventures of a Baseball Vagabond	 [5]
Bob Colacello	 - Ronnie and Nancy: Their Path to the White House	 [5]
Brenda Jackson	 - Bachelor Untamed	 [5]
Brenda Jackson	 - Beyond Temptation	 [5]
Brenda Jackson	 - Eternally Yours	 [5]
Brenda Jackson	 - Forged of Steele Bundle (Books 1-4)	 [4]
Brenda Jackson	 - Hidden Pleasures	 [5]
Brenda Jackson	 - Intimate Seduction	 [4]
Brenda Jackson	 - Just Deserts	 [5]
Brenda Jackson	 - One Special Moment	 [5]
Brenda Jackson	 - Risky Pleasures	 [5]
Brenda Jackson	 - Secret Love	 [3]
Brenda Jackson	 - Sensual Confessions	 [5]
Brenda Jackson	 - Star of His Heart	 [5]
Brenda Jackson	 - The Midnight Hour	 [3]
Brenda Jackson	 - The Object of His Protection	 [5]
Brenda Jackson	 - Wrapped In Pleasure	 [5]
Brian Pratt	 - Fires of Prophecy: Book Two of the Morcyth Saga	 [5]
Brian Pratt	 - Warrior Priest of Dmon-Li	 [5]
Brian S. Pratt	 - Shades of the Past: Book Six of the Morcyth Saga	 [5]
Brian S. Pratt	 - The Mists of Sorrow: Book Seven of the Morcyth Saga	 [5]
Brian S. Pratt	 - The Star of Morcyth: Book Five of the Morcyth Saga	 [5]
Brian S. Pratt	 - Trail of the Gods: The Morcyth Saga Book Four	 [5]
