CHASE&STATUS NO MORE IDOLS (2011)
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx


1."No Problem"  	Will Kennard, Saul Milton, Takura Tendayi	4:10
2.	"Fire in Your Eyes" (feat. Maverick Sabre)	Kennard, Milton, Michael Stafford	4:15
3.	"Let You Go" (feat. Mali)	Kennard, Milton, Ben Drew	3:54
4.	"Blind Faith" (feat. Liam Bailey)	Kennard, Milton, Liam Bailey, Dan Hartman	3:53
5.	"Fool Yourself" (feat. Plan B & Rage)	Kennard, Milton, Drew	4:34
6.	"Hypest Hype" (feat. Tempa T)	Kennard, Milton, Nicholas Dei, Jim Morrison, Robby Krieger, Ray Manzarek, John Densmore	3:29
7.	"Hitz" (feat. Tinie Tempah)	Kennard, Milton, Patrick Okogwu	3:08
8.	"Heavy" (vs. Dizzee Rascal)	Kennard, Milton, Dylan Mills	3:33
9.	"Brixton Briefcase" (feat. Cee-Lo Green)	Kennard, Milton, Cee Lo Green, Rick Nowels	3:58
10.	"Hocus Pocus"  	Kennard, Milton	3:59
11.	"Flashing Lights" (feat. Sub Focus & Takura)	Kennard, Milton, Tendayi	4:11
12.	"Embrace" (feat. White Lies)	Kennard, Milton, Harry McVeigh, Charles Cave	4:58
13.	"Time" (feat. Delilah)	Kennard, Milton, Drew, Paloma Ayana	4:20
14.	"Midnight Caller" (feat. Clare Maguire)	Kennard, Milton, Claire Maguire	3:45
15.	"End Credits" (feat. Plan B)	Kennard, Milton, Drew	3:20
