[ Q-Music Top 100 Of This Century ]
The best music since 2000, chosen by listeners of the Dutch music station Q-Music.

[ The List ]
2011 2010 2009 	ARTIST TITLE
1 1 - 		BLACK EYED PEAS I GOTTA FEELING
2 - - 		ADELE SOMEONE LIKE YOU
3 2 1 		COLDPLAY VIVA LA VIDA
4 17 16 	AMY WINEHOUSE & MARK RONSON VALERIE
5 - - 		ADELE ROLLING IN THE DEEP
6 10 93 	KINGS OF LEON SEX ON FIRE
7 15 - 		ALICIA KEYS EMPIRE STATE OF MIND PART 2
8 4 3 		U2 BEAUTIFUL DAY
9 - - 		BRUNO MARS GRENADE
10 9 9 		ALAIN CLARK FATHER AND FRIEND
11 7 6 		COLDPLAY CLOCKS
12 - - 		ADELE SET FIRE TO THE RAIN
13 18 12 	SNOW PATROL CHASING CARS
14 35 21 	BON JOVI IT'S MY LIFE
15 6 4 		ROBBIE WILLIAMS FEEL
16 8 - 		LADY GAGA BAD ROMANCE
17 20 24 	COLDPLAY THE SCIENTIST
18 3 22 	ADELE MAKE YOU FEEL MY LOVE
19 - - 		EMINEM & RIHANNA LOVE THE WAY YOU LIE
20 16 5 	MARCO BORSATO DOCHTERS
21 19 - 	CARO EMERALD A NIGHT LIKE THIS
22 65 316 	BEYONCE HALO
23 22 46 	KINGS OF LEON USE SOMEBODY
24 11 2 	GUUS MEEUWIS BRABANT
25 44 63 	LINKIN PARK IN THE END
26 - - 		BRUNO MARS JUST THE WAY YOU ARE
27 49 10 	RED HOT CHILI PEPPERS CALIFORNICATION
28 33 56 	AMY WINEHOUSE REHAB
29 61 25 	CHRISTINA AGUILERA BEAUTIFUL
30 - - 		LADY GAGA BORN THIS WAY
31 45 17 	ANOUK LOST
32 - - 		RACOON NO MERCY
33 46 - 	OWL CITY FIREFLIES
34 - - 		GLENNIS GRACE AFSCHEID
35 48 419 	SNOW PATROL RUN
36 60 26 	KANE RAIN DOWN ON ME
37 28 13 	AMY MACDONALD THIS IS THE LIFE
38 26 37 	3 DOORS DOWN KRYPTONITE
39 14 88 	KREZIP SWEET GOODBYES
40 111 85 	GIGI D'AGOSTINO L'AMOUR TOUJOURS
41 62 31 	KEANE SOMEWHERE ONLY WE KNOW
42 - - 		ALEXIS JORDAN HAPPINESS
43 74 70 	GREEN DAY BOULEVARD OF BROKEN DREAMS
44 12 18 	METALLICA NOTHING ELSE MATTERS (S&M LIVE)
45 - - 		MAROON 5 & CHRISTINA AGUILERA MOVES LIKE JAGGER
46 124 81 	THE WHITE STRIPES SEVEN NATION ARMY
47 39 - 	JAY Z & ALICIA KEYS EMPIRE STATE OF MIND
48 38 51 	EVANESCENCE MY IMMORTAL
49 - - 		JEUGD VAN TEGENWOORDIG STERRENSTOF
50 - - 		AMY WINEHOUSE BACK TO BLACK
51 41 35 	THE KILLERS HUMAN
52 - - 		B.O.B. & HAYLEY WILLIAMS AIRPLANES
53 - - 		COLDPLAY EVERY TEARDROP IS A WATERFALL
54 53 43 	ANDRE HAZES BLOED ZWEET & TRANEN
55 - - 		PITBULL & NE-YO & AFROJACK & NAYER GIVE ME EVERYTHING
56 32 29 	WITHIN TEMPTATION ICE QUEEN
57 25 39 	BLACK EYED PEAS WHERE IS THE LOVE
58 13 - 	ANOUK THREE DAYS IN A ROW
59 109 231 	AALIYAH TRY AGAIN
60 55 14 	RACOON LOVE YOU MORE
61 87 175 	BEYONCE SINGLE LADIES
62 - - 		RIHANNA CALIFORNIA KING BED
63 243 133 	U2 VERTIGO
64 91 82 	ADELE CHASING PAVEMENTS
65 99 172 	GNARLS BARKLEY CRAZY
66 24 7 	KREZIP I WOULD STAY
67 - - 		KATY PERRY FIREWORK
68 131 30 	ILSE DELANGE MIRACLE
69 30 147 	LADY GAGA POKER FACE
70 37 8 	ANOUK GIRL
71 106 34 	DO HEAVEN
72 418 - 	ADAM LAMBERT WHATAYA WANT FROM ME
73 397 498 	CHRIS BROWN WITH YOU
74 5 - 		KANE NO SURRENDER
75 71 23 	BLOF ALLES IS LIEFDE
76 - - 		DON OMAR & LUCENZO DANZA KUDURO
77 21 15 	LIVE OVERCOME
78 122 - 	TRAIN HEY SOUL SISTER
79 57 36 	ANOUK MICHEL
80 177 264 	TOKIO HOTEL MONSOON
81 125 87 	EMINEM LOSE YOURSELF
82 43 48 	JASON MRAZ I'M YOURS
83 172 103 	SAFRI DUO PLAYED-A-LIVE (THE BONGO SONG)
84 27 41 	CHRISTINA AGUILERA HURT
85 23 - 	SNOW PATROL JUST SAY YES
86 47 - 	DAVID GUETTA & KID CUDI MEMORIES
87 42 38	COUNTING CROWS & BLOF HOLIDAY IN SPAIN
88 80 117 	THE KILLERS MR BRIGHTSIDE
89 223 196 	NENA & KIM WILDE ANYPLACE, ANYWHERE, ANYTIME
90 - - 		PINK F**KIN' PERFECT
91 36 61 	3 DOORS DOWN HERE WITHOUT YOU
92 175 322 	BLACK EYED PEAS PUMP IT
93 59 47 	ENRIQUE IGLESIAS HERO
94 157 238 	BOMFUNK MC'S FREESTYLER
95 85 86 	TRAIN DROPS OF JUPITER (TELL ME)
96 - - 		LMFAO PARTY ROCK ANTHEM
97 332 205 	THE RASMUS IN THE SHADOWS
98 358 170 	JUSTIN TIMBERLAKE CRY ME A RIVER
99 276 - 	BASEBALLS UMBRELLA
100 52 - 	30 SECONDS TO MARS KINGS AND QUEENS 
