Track listing
No. 	Title 	Lyrics 	Music 	Length
1. 	\\\"All Things Considered\\\"   	Mike Busse 	Chronic Future 	3:43
2. 	\\\"Temper Anthem\\\"   	Mike Busse 	Chronic Future 	3:48
3. 	\\\"Shellshocked REMIX\\\"   	Mike Busse 	Ryan Breen 	6:23
4. 	\\\"Home Game\\\"   	Mike Busse 	Chronic Future 	3:06
5. 	\\\"If You Ever Run\\\"   	Mike Busse 	Chronic Future 	3:47
6. 	\\\"Flight of the Birds\\\"   	Mike Busse 	Chronic Future 	4:15
7. 	\\\"Jupiter (Future Lords)\\\"   	Mike Busse 	Chronic Future 	1:46
8. 	\\\"Insects\\\"   	Mike Busse 	Chronic Future 	3:42
9. 	\\\"The Summer of 1980\\\"   	Mike Busse 	Chronic Future 	3:18
10. 	\\\"Antarctica\\\"   	Mike Busse 	Chronic Future 	5:56

		
