 
http://www.allmusic.com/album/george-canyon-r694191

Country mp3@320kbps


01- My Love's Unchanged.mp3                                         8.14MB
02- I'll Burn That Bridge.mp3                                       8.46MB
03- Love to Burn.mp3                                                9.93MB
04- Scotia Home.mp3                                                 9.58MB
05- Ironwolf.mp3                                                    8.54MB
06- The Shaft.mp3                                                   8.35MB
07- Way Too Much.mp3                                                6.57MB
08- Angelyna.mp3                                                    8.50MB
09- Enough Said.mp3                                                 7.10MB
10- Her Everything.mp3                                              8.89MB
11- Good Day to Ride.mp3                                            7.20MB
