Van Son 45 In Minnesota - Huyen Thoai 2-DISCS 720p quality
 
http://www.vansonentertainment.com/shop/vanson45inminnesotahuyenthoai3discs-p-9658.html

No. 	SONG TITLE 	ARTIST 	COMPOSER 	PLAY 	ACTIONS
1. 	Dua Em Tim Dong Hoa Vang 	Don Ho, Hoang Thuc Linh 	Pham Duy 	0 	 
2. 	Chuyen Tinh Nguu Lang Chuc Nu 	Che Linh 	Mac Phong Linh 	0 	 
3. 	Anh Di Qua Doi Em 	Tinna Tinh 	Tinna Tinh 	0 	 
4. 	Ao Thuat 	Mac Can, Mc Viet Thao 	Unknown 	0 	 
5. 	Neu Dieu Do Xay Ra 	Le Nguyen, Le Nhat Minh 	Ngoc Chau 	0 	 
6. 	Hai Kich - Tien Viet Nam 	Van Son, Bao Chung 	Unknown 	0 	 
7. 	Dai Kho 	Trieu Minh 	Nguyen Hoang Duy 	0 	 
8. 	Han Mac Tu 	Giang Tu 	Tran Thien Thanh 	0 	 
9. 	Harmonica Huyen Thoai 	Tong Son 	Unknown 	0 	 
10. 	Phuong Xa 	Linda Chou 	Ngoc Trinh 	0 	 
11. 	Trich Doan Cai Luong - Nguoi Dep Trong Tranh 	Linh Tam, Huu Nghia, Le Huynh, Kieu Oanh 	Unknown 	0 	 
12. 	Huyen Thoai 1 Tinh Yeu 	Cat Tien 	Giang Ngoc 	0 	 
13. 	Ao Thuat Hot Ga 	Mac Can, Mc Viet Thao 	Unknown 	0 	 
14. 	Trieu Doa Hoa Hong 	Don Ho 	Cam Van 	0 	 
15. 	Tinh Phai 	Nguyen Huy 	Nguyen Ngoc Tai 	0 	 
16. 	Hon Vong Phu 2 - Ai Xuoi Van Ly 	Thanh Tuyen 	Le Thuong 	0 	 
17. 	Hai Kich - Ai La Trieu Phu - Who Wants To Be A Millionaire 	Quang Minh, Hong Dao 	Unknown 	0 	 
18. 	Thien Than Trong Truyen Tranh 	Hoang Thuc Linh 	Tu Trung 	0 	 
19. 	Ken 	Mac Can, Mc Viet Thao 	Unknown 	0 	 
20. 	Mot Coi Di Ve 	Le Nhat Minh 	Trinh Cong Son 	0 	 
21. 	Dem Bo Vo 	Ngoc Ha 	Duy Khanh 	0 	 
22. 	Trang Tinh Su 	Truong Vu 	Unknown 	0 	 
23. 	Honey Honey 	Le Nguyen 	Unknown 	0 	 
24. 	Hai Kich - Luong Son Ba, Chuc Anh Dai 	Le Huynh, Kieu Oanh, Van Son, Bao Chung 	Unknown 	0 	 
25. 	Huyen Thoai Nguoi Con Gai 	Linda Chou, Cat Tien, Trieu Minh 	Le Huu Ha, Nguyen Trung Cang 	0 	 
26. 	Ky Su Tai Lieu Xu Van Ho Minnesota - May In Bong Nuoc 	Van Son, Viet Thao 	Unknown 	0 	  
