1. 	"Reckoning Day"   	Dave Mustaine, Dave Ellefson 	Mustaine, Marty Friedman 	4:34
2. 	"Train of Consequences"   	Mustaine 	Mustaine 	3:31
3. 	"Addicted to Chaos"   	Mustaine 	Mustaine 	5:26
4. 	"Ã€ Tout le Monde"   	Mustaine 	Mustaine 	4:28
5. 	"Elysian Fields"   	Mustaine, Ellefson 	Mustaine 	4:03
6. 	"The Killing Road"   	Mustaine 	Mustaine 	3:57
7. 	"Blood of Heroes"   	Mustaine 	Mustaine 	3:57
8. 	"Family Tree"   	Mustaine 	Mustaine, Ellefson, Nick Menza 	4:07
9. 	"Youthanasia"   	Mustaine 	Mustaine 	4:09
10. 	"I Thought I Knew It All"   	Mustaine 	Mustaine, Friedman, Ellefson, Menza 	3:44
11. 	"Black Curtains"   	Mustaine 	Mustaine, Friedman 	3:39
12. 	"Victory"   	Mustaine 	Mustaine 	4:27
