- 
http://www.Speed.Cd                            and don't forget to visit  Us


Please Seed back to make the speed Faster!!!

 ............ NFO .............
-Holby.City.S13E52.720p.HDTV.x264-ANGELiC

Show:       Holby City
Ep:         S13E52
Airdate:    11/10/2011
TVRage:     http://www.tvrage.com/Holby_City
Genre:      Drama Medical
Channel:    BBC One
Codec:      x264 crf 18 High@L4.1    
Duration:   57mn 15s                 
Size:       1.44 GB                  
Packaged:   29x50 MB                 
Video:      3 336 Kbps               
Audio:      192 Kbps AC3 2 channels  
As. Ratio:  16:9                     
Res.:       1280x720
