CBR 320kbps | 01 DJ Cosmo - Destination (Original Mix)
VBR 218kbps | 02 Basto! - Gregory's Theme (Radio Edit)
CBR 320kbps | 03 Alex Gaudino - I'm In Love (I Wanna Do It)
CBR 320kbps | 04 Matisse and Sadko - Hi, Scandinavia!
CBR 320kbps | 05 Above and Beyond feat. Richard Bedford - Sun and Moon (Radio Edit)
CBR 320kbps | 06 Paul van Dyk - For an Angel (Filo and Peri Remix)
VBR 266kbps | 07 Rachael Starr - To Forever (Moonbeam Remix)
VBR 222kbps | 08 Leonid Rudenko - Summerfish (Scandall Sunset On Ibiza Mix)
CBR 320kbps | 09 Yuri Kane - Right Back
CBR 320kbps | 10 Nadia Ali - Rapture (Avicii New Generation Extended Mix)
CBR 320kbps | 11 Serge Devant feat. Emma Hewitt - Take Me With You (Radio Edit)
CBR 320kbps | 12 Marcus Maison and Will Dragen - In The Horizon (Radio Edit)
