1. 	"Skin o' My Teeth"   	Dave Mustaine 	Mustaine 	3:16
2. 	"Symphony of Destruction"   	Mustaine 	Mustaine 	4:07
3. 	"Architecture of Aggression"   	Mustaine 	Mustaine, Dave Ellefson 	3:40
4. 	"Foreclosure of a Dream"   	Mustaine, Ellefson 	Mustaine 	4:22
5. 	"Sweating Bullets"   	Mustaine 	Mustaine 	5:27
6. 	"This Was My Life"   	Mustaine 	Mustaine 	3:43
7. 	"Countdown to Extinction"   	Mustaine, Ellefson, Nick Menza 	Mustaine, Marty Friedman 	4:19
8. 	"High Speed Dirt"   	Mustaine, Ellefson 	Mustaine 	4:21
9. 	"Psychotron"   	Mustaine 	Mustaine 	4:42
10. 	"Captive Honour"   	Mustaine, Ellefson 	Mustaine, Friedman, Menza 	4:15
11. 	"Ashes in Your Mouth"   	Mustaine 	Mustaine, Friedman, Ellefson, Menza 	6:06
