100 Hits â€” Mexico:Latin American, Caribian and Reggae Music.2004

 
01. Les Humphries Singers | Mexico 
02. The Gibson Brothers | Better Do It Salsa 
03. Gypsy Kings | Bamboleo 
04. Vaya Con Dios | Nah Neh Nah 
05. Paco Paco | Taka-Takata
06. Passengers | Casino
07. Boney M. | Rivers Of Babylon 
08. Bob Marley | Could You Be Loved 
09. Goombay Dance Band | My Bonnie
10. Maxi Priest | Some Guys Have All The Luck
11. UB-40 | Can't Help Falling In Love
12. Boney M. | Brown Girl In The Ring ]
13. Pato Banton | Baby Come Back
14. Alan Price | Everything But Love
15. Ottawan | Shubidubi Love
16. Goombay Dance Band | Alicia 
17. Prince Buster & The Skatalites | King Of Kings 
18. Ottawan | Hello Rio 
19. UB 40 | Red Red Wine 
20. The Gipsy Kings | Baila Me 
21. Jose Feliciano | Que Sera
22. Boney M. | Malaika 
23. Bob Marley | One Love-People Get Ready 
24. No Mercy | D'yer Mak'er 
25. The Gipsy Kings | Escucha Me 
26. Boney M. | My Cherie Amore 
27. Stevie Wonder | Don't You Worry 'Bout A Thing 
28. Bill Wyman | If You Wanna Be Happy 
29. Culture Club | Everything I Own 
30. Boney M. | Two Of Us
31. John Lennon | Dear Yoko 
32. Blondie | The Tide Is High 
33. Maxi Priest | Caution 
34. Bob Marley | Waiting In Vain 
35. Sting | Love Is The Seventh Wave 
36. The Gibson Brothers | Ooh! What A Life 
37. The Gipsy Kings | Volare (Nel Blu Di Pinto Di Blu) 
38. Jose Feliciano | Samba Pa Ti 
39. Mistral | Starship 109
40. Santana | I Love You Much Too Much ]
41. The Gibson Brothers | Cuba 
42. Sting | English Man In New York 
43. UB 40 | Kingston Town 
44. Maxi Priest | In Springtime 
45. Boney M. | Got A Man On My Mind
46. Ottawan | Comme Aux U.S.A
47. The Gipsy Kings | Djobi, Djoba
48. Los Incas | El Condor Pasa 
49. Los Payos | Maria Isabel 
50. The Chakachas | Eso Es El Amor 
51. The Doors | The Mosquito 
52. Peret | Borriquito 
53. Pop Tops | Mamy Blue 
54. The Champs | Tequila 
55. Grupo 15 | La Felicidad 
56. Jeanette | Porque Te Vas 
57. Los Panchos | Besame Mucho 
58. Trini Lopez | La Bamba 
59. The Sandpipers | Guantanamera 
60. Los Diabolos | Un Rayo De Sol 
61. Ping Ping | Sucu Sucu 
62. The Platters | La Hora Del Crepusculo (Twilight Time) 
63. Los Indios Tabajaras | Maria Elena 
64. Paul McCartney | Love Is Strange 
65. Rita Marley & The Soulettes | Let It Be 
66. Santana | Oye Como Va 
67. Glen Adams & The Hippy Boys | Talk Of The Town 
68. John Holt | Help Me Make It Through The Night 
69. The Melodians | Sweet Sensation 
70. Johnny Nash | Hold Me Tight 
71. Johny Clarcke | Tears On My Pillow 
72. The Gaylands | My Jamaican Girl 
73. Marcia Griffiths | Don't Let Me Down 
74. Earl `Wire` Lindo | Mystic Mood 
75. Eric Clapton | Knockin' On Heaven's Door 
76. Sting | All This Time 
77. Bob Marley | Stir It Up 
78. Boney M. | No Woman No Cry 
79. Maxi Priest | Wild World 
80. Paul McCartney | How Many People 
81. Supermax | Got To Love 
82. Chrissie Nynde & UB 40 | I Got You Babe 
83. Robert Palmer | I'll Be Your Baby Tonight 
84. Eric Clapton | I Shot The Sheriff 
85. John Fogerty | Vanz Kant Danz 
86. Mungo Jerry | Let's Get Started
87. Nazareth | Let Me Be Your Leader 
88. Kim Wilde | Everything We Know 
89. Eric Burdon | Love Is For All Time 
90. Stevie Wonder | Master Blaster (Jammin') 
91. Bob Marley | Is This Love 
92. Dan McCafferty | Watcha Gonna Do About It 
93. Paul McCartney | Crackin' Up 
94. Madness | The Harder They Come (Live) 
95. J.Geils Band | Give It To Me 
96. Dan-I & Jump Withe Joe | Barefootin' 
97. The Skatalites | Magic Star 
98. Stevie Wonder | Another Star 
99. The Gibson Brothers | Que Sera Mi Vida 
100.Santa Esmeralda | The House Of The Rising Sun
