User Type,Username,Date,Text
,tonymxpcell,2012-04-20T04:10Z,"thanks, very nice!!"
 *****

*** General Parameters ***
- Name:  Shakira.Live.From.Paris.2011-DVDRip-Junio_Tk2.avi 
- Container:  AVI - Audio Video Interleaved 
- Size:  726.66 MB 
- Duration:  1h 39mn 
- Bitrate:  969 Kbps 

*** Video Track Parameters ***
- Format:  MPEG-4 XviD video 
- Bitrate:  Max.: Undefined / Average: 834 Kbps / Min.: Undefined 
- Frame rate (fps):  Max.: Undefined / Average: 29.970 / Min.: Undefined 
- Encoding profile:  Advanced Simple@L5 
- Width (Pixel number):  640*352 
- Pixel Aspect Ratio:  1:1 
- Display Aspect Ratio:  20:11 
- Interlacing:  Progressive 

*** First Audio Track Parameters ***
- Format:  Mpeg-1 layer 3 (mp3) 
- Bitrate:  128 Kbps 
- Resolution:  Undefined 
- Profile:  Layer 3 
- Channel(s):  2 (stereo) 
- Position:  Undefined 

*** Miscellaneous ***
- Subtitle(s): No Subtitle
- Album: Undefined
- Performer: Undefined
- Genre: Undefined
- Encoded date: Undefined
- Album artist: Undefined"
