##Track List##

No.	Title								Length
1.	"It Must Really Suck to Be Four Year Strong Right Now"		3:16
2.	"Tonight We Feel Alive (On a Saturday)"  			3:43
3.	"Wasting Time (Eternal Summer)"					3:18
4.	"Nineteen with Neck Tatz"  					3:24
5.	"Find My Way Back"  						3:28
6.	"What The Hell Is a Gigawatt?"  				3:07
7.	"One Step at a Time"  						3:06
8.	"This Body Pays the Bill$"  					3:20
9.	"Paul Revere's Midnight Ride"  					3:55
10.	"Flannel Is the Color of My Energy"  				3:29
11.	"Enemy of the World"  						4:02
12.	"Listen, Do You Smell Something?" (iTunes exclusive)		3:37
Total length: 41.6 minutes
