76 Songs from Datsik & Excision
Most songs 320kbps.
Track list:

Excision & Downlink	Existence
Noisia	Alpha Centauri (Datsik & Excision Remix)
Excision & Noiz	Do It Now
Excision & Noiz	Force (Bassnectar & Excision Remix)
Excision & DZ	Round 2
Excision	Whalestep ft Stickybuds
Excision	Know You
Excision	Obvious
Excision	Shambhala 2008 Mix
Excision	Subsonic
Excision	Wasted
Excision & Datsik	Boom
Excision & Datsik	A Millie
KABZ	What They Want Is Filth!
Apex	Nowhere To Run (Datsik & Excision Remix)
Ivory	Hand Grenade (Datsik & Excision Dubstep Mix)
Excision & Datsik	Deviance
Excision	No Escape (Datsik Remix)
Datsik	Retreat (Excision Remix)
Excision, Downlink & Datsik	Existence Vs Reploid Vs SouthPaw (Whomprat Drumstep Megamash Mix)
Wu-Tang	Biochemical Equation (Datsik & Excision Remix) [Explicit]
Excision, Datsik	Calypso - Original Mix
Excision	Darkness
Excision	Shambhala 2009
Excision	Subsonik (Datsik Remix)
Excision & DZ	Yin Yang
Excision & Datsik	Boom (SkisM's Got A Big Boomstick Remix)
Excision & Datsik	Swagga (Downlink Remix)
Kelly Dean & Steady	Teflon ft Kemst (Datsik & Excision Remix)
Foreign Beggars ft. Noisia	No Holds Barred (Excision Remix)
Ctrl-Z, Freestylers Ft Navigator	Ruffneck (Datsik & Excision Remix)
Excision	Get to the Point
Excision	Shambhala 2010
Datsik & Excision	Serious Business
DatsiK & Excision	Swagga (Original Mix)
DatsiK & Excision	Teflon
DatsiK	Crunch (ft.Flux Pavillion)
DatsiK	Firepower
DatsiK	Galvanize
DatsiK	Gecko
DatsiK	Havoc
DatsiK	Mechano (Culprate Remix)
DatsiK	Nuke  Em
DatsiK	Quantum
DatsiK	Retreat (Elite Force Remix)
Datsik	Texx Mars (ft.12th Planet)
DatsiK	Vanish
DatsiK	Want Some More
DatsiK	3 Fist Style
Datsik	Kids (Datsik Remix)
M83	We Own The Sky (Datsik Remix)
The Crystal method ft. LMFAO	Sine Language (Datsik Remix)
Bassnectar	Boombox (Datsik Remix)
Bassnectar & Datsik	YES
Datsik	Nuke'em (Getter Remix)
Datsik	Mechano VIP
Willow Smith	Whip My Hair (Matt Sayers 'Datsik Hur' Bootleg)
Cookie Monsta	R0807 D06 (Datsik Remix)
Mikey B	Street Fighter (feat. Datsik)
Stickybuds	Eat a Porkchop (Datsik Remix)
Datsik, Funtcase	Mechano
Datsik, Funtcase	Brock Out
Datsik & Downlink	Fucking Money
Datsik & Downlink	Against The Machines
Datsik	Fathom
DatsiK	Gizmo 
Datsik	Jenova Project 
Datsik	Quantization Error
Datsik	Retreat
Datsik	Southpaw (Original Mix) 
Coldplay	Fix You (Datsik Remix)
Datsik	Apples
Datsik, Flux Pavillion	Game Over - Original Mix
12th Planet & Datsik	Open Your Eyes
