. 
  
http://www.torrentday.com/        :     The Hottest Private Tracker On The Net!!!
 
http://www.torrentday.com          :     Once & For all ;)


               www . TorrentDay . Com 

(((((((((((((= Enjoy No RAR releases =))))))))))))))))))))


...................................NFO:....................................

.

                              !! let US entertain YOU !!

                      
         ► Society Of Friends ◄   
                      
                                            
                                 
                           
                     
                       
                     
                   
                          
                  
            
             
            
               
                    
                     
                  
              
           
            
               
                  
                
                       
                                
                                                  
                                                            
                              WE PREFER THE FRIENDLY 
                                WAY OF COMPETITION 
                                                                                 
                                               
                        
                  
                         
                 
                    
                  
                      The Mentalist - S03E02 - Das perfekte Opfer
                                                                      
                                                                      
                      Release Date...:      13.02.2011                
                      Laufzeit.......:      ca.42 Minuten 
            
                      Release Format.:      DUBBED HDTVRiP
                         Size........:      350 MB                   
                         Bitrate.....:      ca. 1000 Kbit 2-Pass      
                         Aufloesung..:      624 x 352                 
			 Source......:	    US HDTV
                         Audio.......:      2 Channel MP3 @128 Kbit GERMAN  
                                                                     
                      iMDB-Link:      http://www.imdb.de/title/tt1196946/
