
This is NOT a download site,
this is FILE SHARING SITE.

IF PEOPLE DO NOT WANT TO STAY AND SEED 
AFTER THEIR BELLY IS FULL
TORRENT DIES!!!

Last 30 days I have steady 99% of Hit&Runs.
I haven't asked for "great" sacrifice or martyrdom:
"Share with other people, best way you can. (notice BEST WAY... not NONE)
Give back - at least a little.
Exchange bytes DURING the download. Share. 
Do not Hit & Run."

Number of Hit&Runs - increased.

It cannot be forever.

ANTI HIT&&RUN MEASURES ARE ACTIVE NOW!!!

SORRY FOR "COLLATERAL" DAMAGE.

AND - NO REQUESTS WOULD BE TAKEN TILL FURTHER NOTICE.
NOTE: TimeToLive 24h (torrent's TTL) - because it's reupload


ONLY IF YOU'VE MISSED SOMETHING
!!! Do NOT take too much, seeding time is limited !!!
          
IF you already have some encodes (or UNFINISHED dowload) from my TV packs, put them in ONE folder, together - and when you start this torrent, as download location choose that folder, torrent-program would recognize presence of files you already have, Recheck would be done - and you'll download JUST the files you don't have.

Same tactic could be applied in all cases of Packs of ANY kind. 

Load this torrent, don't start the download.
Click on "Files" tab (lower part of uTorrent program-window) - right-click 
on file you don't need - choose "Don't download". 
(uTorrent would show "Skipped").
Now, start with download.
Other torrent-programs offer very similar step.

Seed after your download is over, you'll seed only the files 
you choose to download. Please. 
Share with other people, best way you can.
But seed. Share. Do not Hit & Run.

*** 2-pass encoding for PC, PS3 or Xbox . ***
*** Video is H264; audio is AAC LC and container is MP4. ***

"Home" of my torrents (for Bookmark/Favorites in your browser)  
http://thepiratebay.org/user/twentyforty


-------------------------------
94 Files (8.63 GB) 
Name	Size
10.O.Clock.Live.S01E13.480p.HDTV.H264.mp4	167.4 MB
30.Rock.S05E19.480p.HDTV.H264.mp4	74.4 MB
BBC.Panorama.2011.Living.with.the.Ayatollah.352p.H264.mp4	96.1 MB
Backlight.2010.TVRip.352p.H264.mp4	320.7 MB
Body.of.Proof.S01E04.480p.HDTV.H264.mp4	129 MB
Body.of.Proof.S01E04.480p.HDTV.H264.srt	62.5 kB
Bones.S06E18.480p.HDTV.H264.mp4	126 MB
Breaking.In.S01E02.480p.HDTV.H264.mp4	63.9 MB
Breakout.Kings.S01E06.480p.HDTV.H264.mp4	126.5 MB
Camelot.S01E04.480p.HDTV.H264.mp4	189.3 MB
Campus.S01E02.352p.H264.mp4	156.8 MB
Castle.2009.S03E21.480p.HDTV.H264.mp4	127.1 MB
Castle.2009.S03E21.480p.HDTV.H264.srt	75.9 kB
Chaos.S01E03.480p.HDTV.H264.mp4	128.7 MB
Chuck.S04E20.480p.HDTV.H264.mp4	125.7 MB
Chuck.S04E20.480p.HDTV.H264.srt	60.9 kB
Craig.Ferguson.2011.04.11.Isabella.Rossellini.H264[352p.quark].mp4	95.2 MB
Craig.Ferguson.2011.04.12.Wynonna.Judd.H264[352p.quark].mp4	95.3 MB
Craig.Ferguson.2011.04.13.Ashely.Judd.H264[352p.quark].mp4	94.5 MB
Craig.Ferguson.2011.04.14.Kristen.Bell.H264[352p.quark].mp4	95 MB
Craig.Ferguson.2011.04.16.Robin.Wright.H264[352p.quark].mp4	95.3 MB
Criminal.Minds.S06E21.480p.HDTV.H264.mp4	121.1 MB
Criminal.Minds.Suspect.Behavior.S01E09.480p.HDTV.H264.mp4	119.4 MB
Endgame.S01E05.352p.H264.mp4	144 MB
Endgame.S01E05.352p.H264.srt	74.3 kB
Family.Guy.S09E15.480p.HDTV.H264.mp4	64.9 MB
Family.Guy.S09E15.480p.HDTV.H264.srt	33.9 kB
Fringe.S03E19.480p.HDTV.H264.mp4	130.2 MB
Happy.Endings.S01E01.480p.HDTV.H264.mp4	75.8 MB
Happy.Endings.S01E02.480p.HDTV.H264.mp4	75.5 MB
Hawaii.Five-0.2010.S01E20.480p.HDTV.H264.mp4	122.8 MB
Hawaii.Five-0.2010.S01E20.480p.HDTV.H264.srt	54.7 kB
House.S07E18.480p.HDTV.H264.mp4	128.1 MB
House.S07E18.480p.HDTV.H264.srt	49.9 kB
How.I.Met.Your.Mother.S06E20.480p.HDTV.H264.mp4	63.7 MB
How.I.Met.Your.Mother.S06E20.480p.HDTV.H264.srt	35.8 kB
Just.Go.With.It.2011.R5.LiNE.352p.H264.mp4	355 MB
Justified.S02E10.480p.HDTV.H264.mp4	123.8 MB
Mad.Love.S01E08.480p.HDTV.H264..srt	38.7 kB
Mad.Love.S01E08.480p.HDTV.H264.mp4	61.3 MB
Mask.Maker.2011.352p.H264.mp4	288.9 MB
Mildred.Pierce.Part04.352p.H264.mp4	230.8 MB
Mildred.Pierce.Part04.352p.H264.srt	66.2 kB
Mildred.Pierce.Part05.352p.H264.mp4	261.6 MB
Mildred.Pierce.Part05.352p.H264.srt	76.9 kB
Modern.Family.S02E19.480p.HDTV.H264.mp4	75.3 MB
NCIS.S08E21.480p.HDTV.H264.mp4	126.3 MB
NCIS.S08E21.480p.HDTV.H264.srt	59.9 kB
Nikita.S01E18.480p.HDTV.H264.mp4	167.9 MB
Nurse.Jackie.S03E03.480p.HDTV.H264.mp4	77.5 MB
Parenthood.2010.S02E21.480p.HDTV.H264.mp4	124.8 MB
Parenthood.2010.S02E21.480p.HDTV.H264.srt	71.8 kB
Real.Time.with.Bill.Maher.2011.04.15.H264[352p.quark].mp4	136.5 MB
Sanctuary.US.S03E11.480p.HDTV.H264.mp4	128.5 MB
Smallville.S10E17.480p.HDTV.H264.mp4	124.1 MB
Stargate.Universe.S02E16.480p.HDTV.H264.mp4	125.8 MB
Stargate.Universe.S02E16.480p.HDTV.H264.srt	56.4 kB
Supernatural.S06E17.480p.HDTV.H264.mp4	121.9 MB
The.Borgias.S01E03.480p.HDTV.H264.mp4	157.9 MB
The.Borgias.S01E03.480p.HDTV.H264.srt	43.5 kB
The.Chicago.Code.S01E08.480p.HDTV.H264.mp4	128.6 MB
The.Chicago.Code.S01E08.480p.HDTV.H264.srt	69.5 kB
The.Confession.106.Webrip.p2p.avi	31 MB
The.Daily.Show.2011.04.11.Foo.Fighters.H264[352p.quark].mp4	51.2 MB
The.Daily.Show.2011.04.12.Gov.Deval.Patrick.H264[352p.quark].mp4	50.6 MB
The.Daily.Show.2011.04.13.Tracy.Morgan.H264[352p.quark].mp4	49.9 MB
The.Daily.Show.2011.04.14.Ricky.Gervais.H264[352p.quark].mp4	50.8 MB
The.Eagle.2011.R5.352p.H264.enFO.srt	4.8 kB
The.Eagle.2011.R5.352p.H264.mp4	341.8 MB
The.Good.Wife.S02E20.480p.HDTV.H264.mp4	128.2 MB
The.Good.Wife.S02E20.480p.HDTV.H264.srt	76.5 kB
The.Green.Hornet.1940.S01E01.DVDRip.XviD-aAF.avi	175 MB
The.Kennedys.Part.05.480p.HDTV.H264.srt	54.4 kB
The.Middle.S02E19.480p.HDTV.H264.mp4	72.9 MB
The.Rite.2011.DVDRip.352p.H264.mp4	365.2 MB
The.Rite.2011.DVDRip.352p.H264.srt	84.2 kB
The.Runaway.S01E03.480p.HDTV.H264.mp4	152.7 MB
The.Simpsons.S22E18.480p.HDTV.H264.mp4	64.8 MB
The.Simpsons.S22E18.480p.HDTV.H264.srt	28.7 kB
The.Vampire.Diaries.S02E18.480p.HDTV.H264.mp4	123 MB
Thor.Loki.Blood.Brothers.S01E03.480p.H264.mp4	95.5 MB
United.States.of.Tara.S03E03.480p.HDTV.H264.mp4	79.6 MB
United.States.of.Tara.S03E03.480p.HDTV.H264.srt	42.8 kB
Waking.The.Dead.S09E09.352p.H264.mp4	196.5 MB
Waking.The.Dead.S09E09.352p.H264.srt	55.4 kB
Waking.The.Dead.S09E10.352p.H264.mp4	197.2 MB
Waking.The.Dead.S09E10.352p.H264.srt	56.8 kB
What.Is.Reality.HORIZON.19.Feb.2011.480p.HDTV.H264.bl.srt	63.6 kB
What.Is.Reality.HORIZON.19.Feb.2011.480p.HDTV.H264.en.srt	65.3 kB
What.Is.Reality.HORIZON.19.Feb.2011.480p.HDTV.H264.es.srt	77.1 kB
What.Is.Reality.HORIZON.19.Feb.2011.480p.HDTV.H264.mp4	350 MB
[Why.Avoided]The.Killing.S01E03.HDTV.1080p_frame159.png	1.7 MB
iCarly.S04E10.iOMG.352p.H264.mp4	93.4 MB
iCarly.S04E10.iOMG.352p.H264.srt	33.5 kB

