Music : Metal : Lossless
Awesome performance in awesome quality, should've been Priest Live

1-01 Love Bites.flac	45.07 MB
1-02 Jawbreaker.flac	32.95 MB
1-03 Grinder.flac	41.15 MB
1-04 Metal Gods.flac	38.97 MB
1-05 Breaking The Law.flac	27.05 MB
1-06 Sinner.flac	70.71 MB
1-07 Desert Plains.flac	42.17 MB
1-08 Some Heads Are Gonna Roll.flac	42.41 MB
1-09 The Sentinal.flac	43.21 MB
2-01 Rock Hard Ride Free.flac	64.83 MB
2-02 Night Comes Down.flac	37.94 MB
2-03 The Hellion _ Electric Eye.flac	37.10 MB
2-04 Heavy Duty _ Defenders Of The Faith.flac	44.83 MB
2-05 Freewheel Burning.flac	41.77 MB
2-06 Victim Of Changes.flac	84.61 MB
2-07 The Green Manalishi (With The Two-Pronged Crown).flac	51.52 MB
2-08 Living After Midnight.flac	44.58 MB
2-09 Hell Bent For Leather.flac	53.63 MB
2-10 You've Got Another Thing Comin'.flac	77.00 MB
