 
http://www.allmusic.com/album/connie-smith-sings-her-hits-r387487

Country mp3@320kbps 


01- You've Got Me.mp3                                               5.54MB
02- Ain't Love A Good Thing.mp3                                     6.24MB
03- I Never Knew.mp3                                                5.92MB
04- I've Got My Baby On My Mind.mp3                                 5.64MB
05- I Got a Lot of Hurtin' Done Today.mp3                           6.17MB
06- Why Don't You Love Me.mp3                                       4.85MB
07- The Song We Fell In Love To.mp3                                 5.60MB
08- ('til) I Kissed You.mp3                                         5.89MB
09- So Sad.mp3                                                      5.61MB
10- I Don't Wanna Talk It Over.mp3                                  6.54MB

