
(Mp3 - 256kbps)

Artist: Slipknot

Album: Vol. 3: The Subliminal Verses



Track		Title				Duration


1 		Prelude 3.0 			3:56 	
2 		The Blister Exists 		5:18 	
3 		Three Nil 			4:47 	
4 		Duality 			3:32 
5 		Opium of the People 		3:11 	
6 		Circle 				4:22 	
7 		Welcome 			3:14 
8 		Vermilion 			5:15 	
9 		Pulse of the Maggots 		4:18 	
10 		Before I Forget 		4:22 	
11 		Vermilion Pt. 2 		3:43 	
12 		Nameless 			0:00 
13 		The Virus of Life 		5:24 
14 		Danger - Keep Away 		3:13 	
