S.W.A.T.Firefight.2011.BluRay.1080p.x264.DTS-LTT
************************************************

TiTLE......  S.W.A.T.: Firefight
YEAR.......  2011
GENRE......  Action 
iMDB URL...  http://www.imdb.com/title/tt1621429/
SIZE.......  4.24 GB
CONTAINER..  mkv
Source.....  BluRay
Subtitles..  English
********************

Video
Runtime                  : 1h 28mn
Overall bit rate         : 6 853 Kbps
Width                    : 1 920 pixels
Height                   : 1 032 pixels
Display aspect ratio     : 1.850:1
Frame rate               : 23.976 fps

Audio 
Language                 : English
Format                   : DTS
Bit rate                 : 1 510 Kbps
Sampling rate            : 48.0 KHz
Channel(s)               : 6 channels (DD 5.1)
**********************************************
