User Type,Username,Date,Text
,Fiskrl,2011-12-10T02:47Z,"Thank you SO much for Diana Gabaldon!!  There isn't many ebooks on here of her books so I really appreciate it!!
Another author I haven't found too many books of is Greg Isles oh and also Tess Gerritsen is great but not many of her books are available either.  
Thanks again, I check frequently for your new torrents because they are the best ebooks!!!"
aya Banks
Supernatural Anthology - Ione/Frank/Aiken
Demon Marked - Meljean Brook
Tempting the Fire - Sydney Croft
Taken by Fire - Sydney Croft
Royal House of Shadows series - #2,3,4
Nightshine - Lynn Viehl
Yours for Eternity - Alexandra Ivy/Howell
Devoured by Darkness - Alexandra Ivy
Bound by Darkness - Alexandra Ivy
Big Bad  Beast - Stephanie Laurenston
Born to be Wild - Christine Warren
Bound by Darkness - Alexis Morgan
The Darkness Beyond - Alexis Morgan
Darkness On Fire - Alexis Morgan

Please Help!!! Thanks!!!"
