Artist	Title	Track #
01 @treysongz	Gone Too Long Produced By @miles777 & @romayo09	
02 @treysongz Ft @kanyewest & @pusha T	Runaway Majormix By @startercarter	
03 @treysongz Ft @rickyrozay & @drakkardnoir	Aston Martin Majormix By @startercarter	
04 @treysongz Ft @dirtymoneycrew , @drakkardnoir & @misskeribaby	Loving You No More Majormix By @startercarter	
05 @treysongz	Just Not Fair Produced By @markthemogul	05
06 @treysongz	Don't Forget Your Ring Produced By @ Phenom	
07 @treysongz Ft @myfabolouslife , @drakkardnoir & @liltunchi	Right Above It Majormix By @startercarter	
08 @treysongz	Sk Shit Produced By @skmusic	
09 @treysongz	Whatever You Want Feat @sashagomez Prod By @markthemogul	
10 @treysongz	For Yall Produced By @romayo09 @darealrichez @troytaylorttu	
11 @kevinhart4Real	Chocolate Dropper Skit	
12 @treysongz	Hate Me Now Majortriggamix By @startercarter	
13 @treysongz	May I  Produced By @ Phenom	
14 @treysongz Ft @kanyewest , @rickyrozay , @nickiminaj @s.C.	Monster Majormix By Startercarter
15 @treysongz Ft @rickyrozay & Rocko	Maybe Majormix By Startercarter	
16 @treysongz Ft @rickyrozay	Another One Majormix By Startercarter	
17 @treysongz	Ten 4 Produced By @ Phenom	
