Filename,Size,Unit
VIDEO_TS/VIDEO_TS.BUP;1,20,K
VIDEO_TS/VIDEO_TS.IFO;1,20,K
VIDEO_TS/VIDEO_TS.VOB;1,520,K
VIDEO_TS/VTS_01_0.BUP;1,40,K
VIDEO_TS/VTS_01_0.IFO;1,40,K
VIDEO_TS/VTS_01_1.VOB;1,1024,M
VIDEO_TS/VTS_01_2.VOB;1,361.78,M
VIDEO_TS/VTS_02_0.BUP;1,72,K
VIDEO_TS/VTS_02_0.IFO;1,72,K
VIDEO_TS/VTS_02_0.VOB;1,3.43,M
VIDEO_TS/VTS_02_1.VOB;1,1024,M
VIDEO_TS/VTS_02_2.VOB;1,1024,M
VIDEO_TS/VTS_02_3.VOB;1,1024,M
VIDEO_TS/VTS_02_4.VOB;1,1024,M
VIDEO_TS/VTS_02_5.VOB;1,395.78,M
VIDEO_TS/VTS_03_0.BUP;1,40,K
VIDEO_TS/VTS_03_0.IFO;1,40,K
VIDEO_TS/VTS_03_1.VOB;1,1024,M
VIDEO_TS/VTS_03_2.VOB;1,385.77,M
VIDEO_TS/VTS_04_0.BUP;1,14,K
VIDEO_TS/VTS_04_0.IFO;1,14,K
VIDEO_TS/VTS_04_1.VOB;1,47.17,M
