Filename,Size,Unit
New Event 1-04-10/clip-2010-03-28 14;16;12.mov,2.18,G
New Event 1-04-10/clip-2010-03-28 14;41;42.mov,1.9,G
New Event 1-04-10/iMovie Data,645,B
PDC 01-04-10 01/clip-2010-03-28 06;06;42.mov,15.8,M
PDC 01-04-10 01/clip-2010-03-28 08;02;12.mov,200.13,M
PDC 01-04-10 01/clip-2010-03-28 08;17;22.mov,1.06,G
PDC 01-04-10 01/clip-2010-03-28 08;48;02.mov,2.18,G
PDC 01-04-10 01/clip-2010-03-28 09;03;18.mov,1.14,G
PDC 01-04-10 01/clip-2010-03-28 09;32;50.mov,2.18,G
PDC 01-04-10 01/clip-2010-03-28 09;55;34.mov,1.69,G
PDC 01-04-10 01/clip-2010-03-28 10;53;02.mov,2.19,G
PDC 01-04-10 01/clip-2010-03-28 11;22;26.mov,2.19,G
PDC 01-04-10 01/clip-2010-03-28 11;48;36.mov,1.95,G
PDC 01-04-10 01/clip-2010-03-28 12;40;38.mov,293.33,M
PDC 01-04-10 01/clip-2010-03-28 12;44;00.mov,11.51,M
PDC 01-04-10 01/clip-2010-03-28 13;14;28.mov,2.18,G
PDC 01-04-10 01/clip-2010-03-28 13;25;34.mov,843.83,M
PDC 01-04-10 01/clip-2010-03-28 13;25;46.mov,3.31,M
PDC 01-04-10 01/clip-2010-03-28 13;37;56.mov,788.06,M
PDC 30-03-10/clip-2010-03-26 08;19;36.mov,577.2,M
PDC 30-03-10/clip-2010-03-26 08;50;42.mov,2.18,G
PDC 30-03-10/clip-2010-03-26 08;51;18.mov,48.63,M
PDC 30-03-10/clip-2010-03-26 09;12;26.mov,1.43,G
PDC 30-03-10/clip-2010-03-26 09;46;06.mov,2.09,G
PDC 30-03-10/clip-2010-03-26 09;57;38.mov,865.56,M
PDC 30-03-10/clip-2010-03-26 11;02;28.mov,2.18,G
PDC 30-03-10/clip-2010-03-26 11;31;58.mov,2.19,G
PDC 30-03-10/clip-2010-03-26 12;01;22.mov,2.18,G
PDC 30-03-10/clip-2010-03-26 12;08;00.mov,507.77,M
PDC 30-03-10/clip-2010-03-26 12;54;14 1.mov,24.16,M
PDC 30-03-10/clip-2010-03-26 12;54;14.mov,24.16,M
PDC 30-03-10/clip-2010-03-26 13;01;22.mov,536.19,M
PDC 30-03-10/clip-2010-03-26 13;02;20.mov,60.88,M
PDC 30-03-10/clip-2010-03-26 13;30;12.mov,1.98,G
PDC 30-03-10/clip-2010-03-26 13;47;00.mov,799.37,M
PDC 30-03-10/clip-2010-03-26 14;18;50.mov,2.18,G
PDC 30-03-10/clip-2010-03-26 14;20;04.mov,95.02,M
PDC 30-03-10/clip-2010-03-26 15;08;38.mov,2.18,G
PDC 30-03-10/clip-2010-03-26 15;08;50.mov,16.39,M
PDC 30-03-10/clip-2010-03-27 09;13;20.mov,2.18,G
PDC 30-03-10/clip-2010-03-27 09;29;24.mov,1.2,G
PDC 30-03-10/clip-2010-03-27 10;39;24.mov,1.92,G
PDC 30-03-10/clip-2010-03-27 10;50;46.mov,296.42,M
PDC 30-03-10/clip-2010-03-27 11;24;46.mov,2.19,G
PDC 30-03-10/clip-2010-03-27 11;29;12.mov,338.18,M
PDC 30-03-10/clip-2010-03-27 13;13;44 1.mov,2.19,G
PDC 30-03-10/clip-2010-03-27 13;13;44.mov,2.19,G
PDC 30-03-10/clip-2010-03-27 13;43;10 1.mov,2.19,G
PDC 30-03-10/clip-2010-03-27 13;43;10.mov,2.19,G
PDC 30-03-10/clip-2010-03-27 13;52;40.mov,727.73,M
PDC 30-03-10/clip-2010-03-27 14;33;12.mov,1.8,G
