User Type,Username,Date,Text
,horizon91,2011-09-28T21:19Z,"thankx bro.....
First to comment..... :)"
,asa55,2011-09-28T21:33Z,thx m8 :)
,Censeeni,2011-09-28T22:59Z,Thanks man works like a charm. Bravo!
,jersson,2011-09-28T23:08Z,"Thank's very good. Looking for a bulk mailer like Atomic Mail Sender for W/7, any chance ?"
,bry68,2011-09-29T01:02Z,hey ladybird why is dreamteamdownloads1.com blacklisted by malwarebytes?
,aam101,2011-09-30T05:27Z,"Works great!
Good work as usual ChattChitto!"
,DisasterSint,2011-10-03T20:38Z,"Thanks Chatt!

Could you also upload Kaspersky 2012 antvirus?"
,DragonFCP,2011-11-09T22:39Z,thanks
,lostinlust,2011-11-26T22:42Z,Really good job. Works like a charm. Thanx !
,max_planck_no_1,2012-01-10T16:30Z,"I love your torrents Chatt Chitto,

A true pirate, through and through.

His signature is the awesome automatic installers.

Long Live ChattChitto!

Pirates Salute!"
