Episode	Title
01	To Tenjiku!! Goku and friends begin their journey!!
02	Beautiful sisters and a pig in love!?
03	You're here, Mother! The demon of the temple that makes dreams come true
04	Hot!! Arm-wrestling match in the Land of Sand
05	Goku becomes a father!?
06	A tale of heroism!! New friends
07	Goku's become a mature woman!?
08	Timeslip!! A journey to the past
09	The ultimate demon's trap
10	The true identity of Rinrin from the Land of Demons!!
11	Tenjiku! Touching conclusion of love and courage!! To the future
