Filename,Size,Unit
iMovie Movie Cache/Cache-25.mov,655.02,K
iMovie Movie Cache/Cache.plist,87.14,K
iMovie Thumbnails/iMovie Movie Cache/Cache-25.mov,121.21,K
iMovie Thumbnails/iMovie Movie Cache/Cache.plist,87.03,K
iMovie Thumbnails/clip-2010-08-25 12;39;21,84,M
iMovie Thumbnails/clip-2010-08-25 12;25;29,31.56,M
iMovie Thumbnails/clip-2010-08-25 12;29;35,28.6,M
iMovie Thumbnails/clip-2010-08-25 12;37;23,17.61,M
iMovie Thumbnails/clip-2010-08-25 11;36;58,16.88,M
iMovie Thumbnails/clip-2010-08-25 11;38;29,11.46,M
iMovie Thumbnails/clip-2010-08-25 11;32;30,11.15,M
iMovie Thumbnails/clip-2010-08-25 12;28;22,10.9,M
iMovie Thumbnails/clip-2010-08-25 11;26;04,9.69,M
iMovie Thumbnails/clip-2010-08-25 12;49;55,8.1,M
iMovie Thumbnails/clip-2010-08-25 11;09;49,5.97,M
iMovie Thumbnails/clip-2010-08-25 12;35;39,5.36,M
iMovie Thumbnails/clip-2010-08-25 11;21;36,4.95,M
iMovie Thumbnails/clip-2010-08-25 11;23;39,4.29,M
iMovie Thumbnails/clip-2010-08-25 12;49;13,4.1,M
iMovie Thumbnails/clip-2010-08-25 11;26;58,3.94,M
iMovie Thumbnails/clip-2010-08-25 12;48;23,3.94,M
iMovie Thumbnails/clip-2010-08-25 12;36;26,3.47,M
iMovie Thumbnails/clip-2010-08-25 11;03;53,3.22,M
iMovie Thumbnails/clip-2010-08-25 12;36;59,3.1,M
iMovie Thumbnails/clip-2010-08-25 12;48;51,3.02,M
iMovie Thumbnails/clip-2010-08-25 11;22;23,2.76,M
iMovie Thumbnails/clip-2010-08-25 11;31;21,2.73,M
iMovie Thumbnails/clip-2010-08-25 11;31;48,2.57,M
iMovie Thumbnails/clip-2010-08-25 12;34;19,2.56,M
iMovie Thumbnails/clip-2010-08-25 12;24;24,2.46,M
iMovie Thumbnails/clip-2010-08-25 11;17;24,2.21,M
