A few of my favorite Portal related tracks, in celebration of Portal 2 coming out. :)

#   Track                                            Artist	            URL
01  Intro                                            Aperature Science
02  Rhubarb on Fire                                  Zhaytee            http://www.zhaymusic.com/
03  8 Bit Portal - Still Alive                       pissinguoff247    
04  Hip Hop GLaDOS - Portal Song                     oggycheese        
05  Still Alive - Basix                              basixdk           
06  Taste the Cake                                   machinima         
07  Portal - Credits (still alive) Techno Remix      doritoclock       
08  Portal: A Day in the Life of a Turret            machinima         
09  8080 Computer playing Portal Still Alive         256byteram        
10  Still Alive (Portal ending song) in Japanese     flatfacex         
11  Portal - "Still Alive" Raddox Remix              Raddox2           
12  GLaDOS - Portal Remix                            teeku666          
13  The Device has been Modified v2                  thecybercat       
14  Still Alive                                      GLaDOS
15  Portal 2 Teaser Trailer                          Aperature Science
