01 You da One.mp3	7.7 MB
02 Where Have You Been.mp3	9.4 MB
03 We Found Love (Feat.Calvin Harris).mp3	8.3 MB
04 Talk That Talk (Feat.Jay-Z).mp3	8.1 MB
05 Cockiness (Love It).mp3	6.9 MB
06 Birthday Cake.mp3	3.1 MB
07 We All Want Love.mp3	9.1 MB
08 Drunk On Love.mp3	8.2 MB
09 Roc Me Out.mp3	8.1 MB
10 Watch n' Learn.mp3	8.2 MB
11 Farewell.mp3	9.9 MB
12 Red Lipstick.mp3	8.4 MB
13 Do Ya Thang.mp3	8.6 MB
14 Fool In Love.mp3	9.9 MB
15 We Found Love (Calvin Harris Extended Mix) [Feat.Calvin Harris].mp3	13.3 MB
