No. 	Title 	Length
1. 	"Discombobulate"   	                        2:25
2. 	"Is It Poison, Nanny?"   	                2:53
3. 	"I Never Woke Up in Handcuffs Before"   	1:44
4. 	"My Mind Rebels at Stagnation"   	        4:31
5. 	"Data, Data, Data"   	                        2:15
6. 	"He's Killed the Dog Again"             	3:15
7. 	"Marital Sabotage"   	                        3:44
8. 	"Not in Blood, But in Bond"             	2:13
9. 	"Ah, Putrefaction"   	                        1:50
10. 	"Panic, Sheer Bloody Panic"              	2:38
11. 	"Psychological Recovery... 6 Months"     	18:18
12. 	"Catatonic"                                   	6:46
 
         Total length:                           	52:32
