1. Hey You (2011 - Remaster) 	4:39 	Not Available 	  	
Play 	  2. See Emily Play (2011 - Remaster) 	2:48 	Not Available 	  	
Play 	  3. The Happiest Days Of Our Lives (2011 - Remaster) 	1:32 	Not Available 	  	
Play 	  4. Another Brick In The Wall, Pt. 2 (2011 - Remaster) 	3:48 	Not Available 	  	
Play 	  5. Have A Cigar (2011 - Remaster) 	5:08 	Not Available 	  	
Play 	  6. Wish You Were Here (2011 - Remaster) 	5:05 	Not Available 	  	
Play 	  7. Time (Edit) [2011 - Remaster] 	6:20 	Not Available 	  	
Play 	  8. The Great Gig In The Sky (2011 - Remaster) 	4:36 	Not Available 	  	
Play 	  9. Money (2011 - Remaster) 	6:34 	Not Available 	  	
Play 	10. Comfortably Numb (2011 - Remaster) 	6:19 	Not Available 	  	
Play 	11. High Hopes (Edit) [2011 - Remaster] 	6:55 	Not Available 	  	
Play 	12. Learning To Fly (2011 - Remaster) 	4:49 	Not Available 	  	
Play 	13. The Fletcher Memorial Home (2011 - Remaster) 	4:10 	Not Available 	  	
Play 	14. Shine On You Crazy Diamond (Parts 1 - 5) [Edit] (2011 - Remaster) 	11:05 	Not Available 	  	
Play 	15. Brain Damage (2011 - Remaster) 	3:46 	Not Available 	  	
Play 	16. Eclipse (2011 - Remaster) 	1:51 	Not Available 	 
