iTunes Ready
All Album Covers, Artists, Album, Genre, Track No, Album Artist Filled
320kbps


Pos.	Artist	Title
1	LMFAO	Party Rock Anthem
2	Wretch 32	Unorthodox (feat. Example)
3	Jennifer Lopez	On The Floor (feat. Pitbull)
4	Tracy Chapman	Fast Car
5	Chris Brown	Beautiful People (feat. Benny Benassi)
6	Snoop Dogg	Sweat
7	Katy Perry	E.T. (feat. Kanye West)
8	The Black Eyed Peas	Just Can't Get Enough
9	Lady Gaga	Judas
10	Mann	Buzzin (feat. 50 Cent)
11	Rihanna	S&M (Come On)
12	Adele	Someone Like You
13	Jessie J	Price Tag (feat. B.o.B)
14	Cee Lo Green	Bright Lights Bigger City
15	Bruno Mars	The Lazy Song
16	Nicole Scherzinger	Don't Hold Your Breath
17	Wiz Khalifa	Black And Yellow
18	Beyonce	Run The World (Girls)
19	Kanye West	All Of The Lights (feat. Drake & Rihanna)
20	Lady Gaga	Born This Way
21	Birdy	Skinny Love
22	Adele	Rolling In The Deep
23	Starboy Nathan	Diamonds
24	Chris Brown	Yeah 3X
25	Martin Solveig & Dragonette	Hello
26	Britney Spears	Till The World Ends
27	Bruno Mars	Grenade
28	Dr. Dre	I Need A Doctor (feat. Eminem & Skylar Grey)
29	Aloe Blacc	I Need A Dollar
30	Katy B	Broken Record
31	Nicki Minaj	Girls Fall Like Dominoes
32	Jessie J	Nobody's Perfect
33	Tinie Tempah	Simply Unstoppable
34	Chipmunk	Champion (feat. Chris Brown)
35	Pitbull	Give Me Everything (feat. Ne-Yo, Afrojack and Nayer)
36	David Guetta	Who's That Chick? (feat. Rihanna)
37	Chipmunk	In The Air (feat. Keri Hilson)
38	Kesha	Blow
39	The Wanted	Gold Forever
40	Dionne Bromfield	Yeah Right (feat. Diggy Simmons)
