  Track  Title                                              Time

  01.    Danger Mouse & Daniele Luppi - Two Against One      2:19
         (feat. Jack White)
  02.    Beady Eye - The Roller                              3:36
  03.    Katy Perry - ET (Benny Benassi Rmx)                 3:19
  04.    Snoop Dogg Vs David Guetta - Sweat                  3:16
  05.    Lucenzo Feat Don Omar - Danza Kuduro                3:15
  06.    Subsonica - La Funzione                             3:29
  07.    Swedish House Mafia - Save The World                3:33
  08.    Alex Metric & Steve Angello - Open Your Eyes (Feat  3:18
         Ian Brown)
  09.    Alexandra Stan - Mr. Saxobeat                       3:13
  10.    Bob Sinclar & Raffaella Carra - Far L'amore         3:02
  11.    The Asteroids Galaxy Tour - The Golden Age          3:51
  12.    Dolcenera - Il Sole Di Domenica                     3:41
  13.    Martin Solveig - Ready 2 Go                         3:03
  14.    Zero Assoluto - Questa Estate Strana                2:19
  15.    Catalin Josan - Don't Wanna Miss You                3:08
  16.    Caro Emerald - Stuck                                3:53
  17.    Brooke Fraser - Something In The Water              3:04
  18.    Michael Franti & Spearhead - The Sound Of Sunshine  3:43
  19.    Jessie J - Price Tag                                3:09
  20.    Ben Harper - Don't Give Up on Me Now                3:33
  21.    Vasco Rossi - Eh...GiÎ±                              3:47
  22.    Fabri Fibra - Tranne Te                             4:02
