Track listing
No. 	Title 	Writer(s) 	Producer(s) 	Length
1. 	"Club Can't Handle Me" (Flo Rida feat. David Guetta) 	Carmen Key, David Guetta, Fred Riesterer, Giorgio Tuinfort, Kasia Livingston, Mike Caren, Tramar Dillard 	David Guetta 	3:52
2. 	"My Own Step (Theme from Step Up 3D)" (Roscoe Dash and T-Pain feat. Fabo) 	  	Don P 	4:17
3. 	"This Instant" (Sophia Fresh feat. T-Pain) 	  	Tha Bizness 	3:54
4. 	"Already Taken" (Trey Songz) 	  	Polow da Don, 	3:58
5. 	"This Girl" (Laza Morgan) 	  	Julian Bunetta 	3:09
6. 	"Fancy Footwork" (Chromeo) 	  	Chromeo 	3:18
7. 	"Up" (Jesse McCartney feat. Dapo Torimiro) 	  	Dapo Torimiro 	2:43
8. 	"Freak" (Estelle feat. Kardinal Offishall) 	  	David Guetta, Nick Van De Wall (Afrojack) 	3:41
9. 	"Whatchadoin?" (N.A.S.A. feat. M.I.A., Spank Rock, Santigold and Nick Zinner) 	  	Squeak E. Clean 	4:10
10. 	"Tear da Roof Off" (Busta Rhymes) 	  	Swizz Beatz 	3:37
11. 	"Move (If You Wanna)" (Mims) 	  	Da Internz 	3:11
12. 	"Shawty Got Moves" (Get Cool) 	  	Get Cool 	3:14
13. 	"Irresistible" (Wisin & Yandel) 	  	Tainy, Victor "El Nazi" 	3:06
