Track	Title	Artist
1	Just A Little Love (Feat. Alexandra Hamnede & Teresa Pozgaj)	Physics
2	Holdin on -  feat. Daisy (karol xvii & mb valence mix)	Physics
3	Am i (original mix)	Egostereo
4	Teer (Rodriguez Jr. Remix)	Jin Choi & Daso
5	It\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\'s Never Forever	Untitled Orchestra
6	Come With Me	Dr Drummer
7	My Freedom Alexandra Hamptons Deep Soul Instrumental	Audiojazz Feat Yvonne Gage
8	Take It Or Leave It (Dub Mix)	Francesco Cofano, Alex & Chris (feat Shatti)
9	10 Minute High (The Matinee)	Kings Of Tomorrow feat. Michelle Weeks
10	If We All Can (Reelsoul Instrumental Mix)	Distant People Feat Chappell
11	Move	Josh
12	Psychedelic Behaviour	Orange Muse
13	 Love fusion (original mix)	Deep Sector
14	Basic cuts 2 (we can make some deep \\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\'n dirty beats)	Ave Astra
15	Tobelo (Igness remix)	Morphile

Visit www.djbubbsta.com for more
