Filename,Size,Unit
01. Demons & Wizards - Down Where I Am (4;54).mp3,6.74,M
02. Dokken - There Was A Time (3;56).mp3,7.21,M
03. Tiamat - Atlantis As A Lover (5;31).mp3,10.11,M
04. Rhapsody - Lamento Eroico (4;42).mp3,8.62,M
05. Hammerfall - Remember Yesterday (5;03).mp3,9.26,M
06. Sinner - Everybody (4;28).mp3,8.18,M
07. Royal Hunt - The Prayer (3;29).mp3,4.8,M
09. Axel Rudi Pell - Heartbreaker (6;42).mp3,12.29,M
11. Tiamat - Mount Marilyn (10;33).mp3,19.33,M
12. White Skull - The Terrible Slaughter (6;07).mp3,11.23,M
13. Rainbow - Catch The Rainbow (6;30).mp3,11.92,M
14. Demons & Wizards - Wicked Witch (3;34).mp3,4.91,M
15. Rhapsody - Wings Of Destiny (4;26).mp3,8.15,M
16. Stratovarius - Forever (3;06).mp3,5.69,M
17. Iced Earth - Consequences (5;36).mp3,10.26,M
18. Tiamat - Do you dream of me# (5;06).mp3,9.37,M
19. Axel Rudi Pell - Live For The King (8;15).mp3,15.11,M
20. Threshold - Avalon (4;46).mp3,8.75,M
21. Nocturnal Rites - The Legend Lives On (5;46).mp3,10.57,M
22. Rainbow - Snowman (4;32).mp3,8.32,M
23. Dark Moor - The Sound Of The Blade (3;57).mp3,7.26,M
24. Annihilator - In The Blood (4;20).mp3,7.95,M
25. Axel Rudi Pell - All The Rest Of My Life (8;04).mp3,14.79,M
26. Tiamat - Divided (5;18).mp3,9.74,M
27. Sonata Arctica - Letter To Dana (6;01).mp3,11.03,M
28. Demons & Wizards - Fiddler On The Green (5;55).mp3,10.85,M
29. Stratovarius - Season Of Change (6;56).mp3,12.72,M
30. Royal Hunt - Follow Me (6;21).mp3,11.64,M
31. Edguy - Scarlet Rose (5;10).mp3,9.47,M
32. Rainbow - Anybody There (2;38).mp3,4.84,M
33. Majesty - Aria Of Bravery (9;01).mp3,16.54,M
34. Megadeth - Time - The Beginning (3;06).mp3,5.7,M
35. Tiamat - Only in my tears it lasts (5;24).mp3,9.89,M
36. Crown Of Thorns - My Sweet Lord (4;19).mp3,7.92,M
37. Hammer Fall - The Fallen One (4;24).mp3,8.07,M
