Carter Burwell - Sailing  Operations Still
John Murphy - London Deserted                    28 Weeks Later
John Murphy - Code Red                           28 Weeks Later
John Murphy - Leaving England                    28 Weeks Later
Harry Gregson Williams - The Launch              Armageddon
James Horner - Becoming one with Neytiri         Avatar
James Horner - The Path to Heaven                Avatar
Trevor Rabin - 7M57                              Bad Boys II
Trevor Rabin - Prep for Tapia Sneak              Bad Boys II
Trevor Rabin - Bad Company Suite                 Bad Company
Brian Tyler - Main Title(Bangkok Dangerous)      Bangkok Dangerous
Soundtrack - The Batman Theme                    Batman
Hans Zimmer and James Newton Howard - Antrozous  Batman Begins
Hans Zimmer and James Newton Howard - Molossus   Batman Begins
Harold Faltermeyer - Axel Foley                  Beverly Hills Cop
Hans Zimmer - Beyond Rangoon                     Beyond Rangoon
Hans Zimmer - Leave No Man Behind                Black Hawk Down
Hans Zimmer - Nick And Masa                      Black Rain
James Newton Howard - Crossing The Bridge        Blood Diamond
Triplex - Shadowboxing Reprise                   Boj s Tenju
James Horner - Freedom  The Execution            Braveheart
Hans Zimmer - Reveal The Stealth  Nukes          Broken Arrow
Hans Zimmer - Broken Arrow                       Broken Arrow
James Newton Howard - Max Steals Briefcase       Collateral
James Horner - Main Title                        Commando
Mark Mancina, Trevor Rabin - Con Air Theme       Con Air
Mark Mancina, Trevor Rabin - Carson City         Con Air
Mark Mancina, Trevor Rabin - Jailbirds           Con Air
Hans Zimmer - Roll Tide[Ghost Version]           Crimson Tide
Hans Zimmer - Main Title                         Days of Thunder
Harry Gregson-Williams - Claire's Apartment      Deja Vu
Clinton Shorter - District 9                     District 9
Clint Mansell - Doom                             Doom
Randy Edelman - To The Stars                     Dragon Heart
Hans Zimmer - Drop Zone                          Drop Zone
Trevor Rabin, Harry Gregson-Williams - Main Titles  Enemy of the State
Trevor Rabin, Harry Gregson-Williams - The Tunnel Part 1  Enemy of the State
Klaus Badelt - Cry For Freedom                   Equilibrium
Uematsu Nobuo - For the Reunion                Final Fantasy VII Advent Children
Alan Silvestri - Feather Theme                   Forrest Gump
Hans Zimmer - Duduk Of The North                 Gladiator
Hans Zimmer - Honor Him                          Gladiator
Hans Zimmer - Now We Are Free                    Gladiator
Trevor Rabin - Porche Boost                      Gone in 60 Seconds
Trevor Rabin - Keys To Eleanor                   Gone in 60 Seconds
