Track listing
No. 	Title 	Length
1. 	\\\"Keep On Bringing Me Down\\\"   	3:39
2. 	\\\"I Guess You Can Say Things Are Getting Pretty Serious\\\"   	3:08
3. 	\\\"Life Of The Party\\\"   	2:58
4. 	\\\"Robots & Aliens\\\"   	3:12
5. 	\\\"King For A Day\\\"   	3:27
6. 	\\\"Good Life\\\"   	3:21
7. 	\\\"Same Dumb Excuse (Nothing To Lose)\\\"   	3:16
8. 	\\\"Bipolar Baby!\\\"   	3:11
9. 	\\\"Summer Song\\\"   	3:01
10. 	\\\"Forever Girl[5]\\\"   	3:13
11. 	\\\"What Happened To Emotion? (Killing Me)\\\"   	3:44

MP3 320Kbps Stereo
