Season 3 (20 episodes)

1.  Episode 1    Wait for It
2.  Episode 2    We're Not from Here
3.  Episode 3    Third Wheel
4.  Episode 4    Little Boys
5.  Episode 5    How I Met Everyone Else
6.  Episode 6    I'm Not That Guy
7.  Episode 7    Dowisetrepla
8.  Episode 8    Spoiler Alert
9.  Episode 9    Slapsgiving
10. Episode 10   The Yips
11. Episode 11   The Platinum Rule
12. Episode 12   No Tomorrow
13. Episode 13   Ten Sessions
14. Episode 14   The Bracket
15. Episode 15   The Chain of Screaming
16. Episode 16   Sandcastles in the Sand
17. Episode 17   The Goat
18. Episode 18   Rebound Bro
19. Episode 19   Everything Must Go
20. Episode 20   Miracles
