Greenback Dollar 	The Kingston Trio
Israelites 	Desmond Dekker
Ashley's Roachclip 	Soul Searchers
This Must Be The Place 	Miles Fisher
Theme From Doctor Detroit 	Devo
Mental Hopscotch 	Missing Persons
Are 'Friends' Electric? 	Gary Numan
Poker Face (Walken Cartman Remix) 	Lady GaGa
Telephone 	8-Bit Gaga
Theme From "S.W.A.T." 	Rhythm Heritage
Feel the Pain 	Dinosaur Jr
Switching to Glide 	The Kings
This Town Ain't Big Enough For Both Of Us 	The Sparks
Overkill 	Colin Hay
Goodbye Horses 	Q Lazzarus
Venus in Furs 	Risque
Fredward 	The Billy Nayer Show
Daddy's Song 	The Monkees
Dad I'm In Jail 	Was (Not Was)
Earth To Doris 	Was (Not Was)
Big Booty Bitches In Miami (Bombs Away vs. LMFAO vs. Busta Rhymes vs. Sir Mix-A-Lot) 	DJ Schmolli 
