Filename,Size,Unit
[HorribleSubs] Steins;Gate - 01 [720p].mkv,276.21,M
[HorribleSubs] Steins;Gate - 02 [720p].mkv,274.95,M
[HorribleSubs] Steins;Gate - 24 [720p].mkv,274.61,M
[HorribleSubs] Steins;Gate - 03 [720p].mkv,274.58,M
[HorribleSubs] Steins;Gate - 16 [720p].mkv,274.56,M
[HorribleSubs] Steins;Gate - 11 [720p].mkv,274.54,M
[HorribleSubs] Steins;Gate - 08 [720p].mkv,274.54,M
[HorribleSubs] Steins;Gate - 12 [720p].mkv,274.52,M
[HorribleSubs] Steins;Gate - 20 [720p].mkv,274.45,M
[HorribleSubs] Steins;Gate - 10 [720p].mkv,274.41,M
[HorribleSubs] Steins;Gate - 07 [720p].mkv,274.34,M
[HorribleSubs] Steins;Gate - 23 [720p].mkv,274.32,M
[HorribleSubs] Steins;Gate - 17 [720p].mkv,274.22,M
[HorribleSubs] Steins;Gate - 22 [720p].mkv,274.14,M
[HorribleSubs] Steins;Gate - 13 [720p].mkv,274.12,M
[HorribleSubs] Steins;Gate - 06 [720p].mkv,274.11,M
[HorribleSubs] Steins;Gate - 15 [720p].mkv,273.99,M
[HorribleSubs] Steins;Gate - 05 [720p].mkv,273.97,M
[HorribleSubs] Steins;Gate - 18 [720p].mkv,273.81,M
[HorribleSubs] Steins;Gate - 04 [720p].mkv,273.73,M
[HorribleSubs] Steins;Gate - 14v2 [720p].mkv,273.69,M
[HorribleSubs] Steins;Gate - 09 [720p].mkv,273.64,M
[HorribleSubs] Steins;Gate - 19 [720p].mkv,273.35,M
[HorribleSubs] Steins;Gate - 21 [720p].mkv,273.34,M
