Filename,Size,Unit
Cd 1/1  Karuan - Chocolate Distance Hypnotized   4;09  .mp3,5.76,M
Cd 1/10  The Sunday Drivers - On My Mind   4;07  .mp3,5.76,M
Cd 1/11  Semisonic - Secret Smile   4;38  .mp3,5.16,M
Cd 1/12  Richard Hawley - The Ocean   5;08  .mp3,7.72,M
Cd 1/13  Jack Radics - No Matter   3;04  .mp3,4.4,M
Cd 1/14  Phil Carmen - On My Way In L.A.   7;10  .mp3,5.49,M
Cd 1/15  Lighthouse Family - Ocean Drive   3;47  .mp3,5.11,M
Cd 1/16  Love & Money - Halleluiah Man   4;24  .mp3,6.21,M
Cd 1/17  Yazz & Aswad - How Long   3;49  .mp3,5.3,M
Cd 1/18  Basia - Baby You're Mine   3;34 .mp3,4.99,M
Cd 1/2  Tanya Stephens - It's A Pity   4;10  .mp3,5.61,M
Cd 1/3  The Fray - How To Save A Life   4;17  .mp3,6.02,M
Cd 1/4  Peter Bjorn And John Feat. Victoria Bergsman - YOUNG FOLKS   4;35 .mp3,5.55,M
Cd 1/5  The Vinylistic - Iâm Confessinâ That I Love You   4;42 .mp3,6.49,M
Cd 1/6  Billy Idol - Adam In Chains   6;18  .mp3,8.68,M
Cd 1/7  Billie Holiday - Speak Low (Bent Remix)   4;13  .mp3,6.04,M
Cd 1/8  Augustin Pardon - June   3;49  .mp3,5.41,M
Cd 1/9  Duptribe - S.O.S. (The Sound Of Silence) (Duptribe Radio Remix)   3;04  .mp3,4.3,M
Cd 2/1  Devastations - Sex And Mayhem   4;12  .mp3,6.02,M
Cd 2/10  Gerardina Trovato - Ma Non Ho PiÃ¹ La Mia CittÃ,   4;23  .mp3,6.1,M
Cd 2/11  Al Stewart - Almost Lucy   3;36  .mp3,5.04,M
Cd 2/12  Erik Faber - Not Over   3;54  .mp3,5.43,M
Cd 2/13  Andreas Johnson - Glorious   3;25  .mp3,4.8,M
Cd 2/14  Gavin Friday - Angel   4;15  .mp3,5.95,M
Cd 2/15  Fused - Saving Mary   3;35  .mp3,5.01,M
Cd 2/16  Duptribe - Girl From Mogadishou   6;35  .mp3,9.15,M
Cd 2/17  Morcheeba - Blindfold   4;35  .mp3,6.39,M
Cd 2/18  Sophie B. Hawkins - Damn I Wish I Was Your Lover   4;14  .mp3,6.05,M
Cd 2/19  The Brand New Heavies - Dream On Dreamer   3;30 .mp3,4.94,M
Cd 2/2  Mazzy Star - Halah   3;10  .mp3,4.5,M
Cd 2/3  The Beautiful South - Rebel Prince   3;33  .mp3,4.92,M
Cd 2/4  Kings Of Convenience - Misread   3;03  .mp3,4.34,M
Cd 2/5  Supreme Beings Of Leisure - Never The Same   3;55  .mp3,5.58,M
Cd 2/6  The Cardigans - Lovefool   3;12  .mp3,4.5,M
Cd 2/7  The Coral - In The Morning   2;30  .mp3,3.52,M
Cd 2/8  The Magic Numbers - Most Of The Time   5;01  .mp3,7.1,M
Cd 2/9  Flunk - On My Balcony   2;48  .mp3,4.38,M
Cd 3/1  Jason Mraz - Life Is Wonderful   4;20  .mp3,5.98,M
Cd 3/10  In Vox - On The Highway   3;46  .mp3,5.2,M
