Season 1 (22 episodes)


1.  Episode 1    Pilot
2.  Episode 2    Purple Giraffe
3.  Episode 3    The Sweet Taste of Liberty
4.  Episode 4    Return of the Shirt
5.  Episode 5    Okay Awesome
6.  Episode 6    The Slutty Pumpkin
7.  Episode 7    Matchmaker
8.  Episode 8    The Duel
9.  Episode 9    Belly Full of Turkey
10. Episode 10   The Pineapple Incident
11. Episode 11   The Limo
12. Episode 12   The Wedding
13. Episode 13   Drumroll, Please
14. Episode 14   Zip, Zip, Zip
15. Episode 15   Game Night
16. Episode 16   Cupcake
17. Episode 17   Life Among the Gorillas
18. Episode 18   Nothing Good Happens After 2 AM
19. Episode 19   Mary the Paralegal
20. Episode 20   Best Prom Ever
21. Episode 21   Milk
22. Episode 22   Come On
