With: Michael Nyqvist, Peter Haber and Noomi Rapace

Op 29 september 1966 is de 16 jaar oude Harriet Vanger spoorloos verdwenen. Nu, 40 jaar later, krijgt journalist Mikael Blomkvist een ongewone opdracht: hij wordt door grootindustrieel Henrik Vanger gevraagd de geschiedenis van zijn familie te schrijven. Wat hij eigenlijk wil is de waarheid achterhalen over Harriet. Mikael vindt dat hij wel even uit zijn sleur bij het tijdschrift kan komen en samen met computerdeskundige Lisbeth begint hij aan de opdracht. Ze graven dieper en dieper in het verleden van de familie en komen steeds donkerder geheimen tegen.

A journalist is aided in his search for a woman who has been missing -- or dead -- for forty years by a young female hacker. 

------------------ Dutch Friends ------------------
You can find my Friends at: http://www.Film-Test.nl 
------ They got my dutchs subs ---- and more ------

General:

Complete name                    : Millenium 1\Millenium 1.avi
Format                           : AVI
Format/Info                      : Audio Video Interleave
File size                        : 1.96 GiB
Duration                         : 2h 26mn
Overall bit rate                 : 1 915 Kbps

Video:

Format                           : MPEG-4 Visual
Format profile                   : Simple@L3
Format settings, BVOP            : No
Format settings, QPel            : No
Format settings, GMC             : No warppoints
Format settings, Matrix          : Default (H.263)
Codec ID                         : XVID
Codec ID/Hint                    : XviD
Duration                         : 2h 26mn
Bit rate                         : 1 456 Kbps
Width                            : 720 pixels
Height                           : 304 pixels
Display aspect ratio             : 2.35:1
Frame rate                       : 25.000 fps
Color space                      : YUV
Chroma subsampling               : 4:2:0
Bit depth                        : 8 bits
Scan type                        : Progressive
Bits/(Pixel*Frame)               : 0.266
Stream size                      : 1.49 GiB (76%)
Writing library                  : XviD 1.1.2 (UTC 2006-11-01)

Audio:

Format                           : AC-3
Format/Info                      : Audio Coding 3
Mode extension                   : CM (complete main)
Codec ID                         : 2000
Duration                         : 2h 26mn
Bit rate mode                    : Constant
Bit rate                         : 448 Kbps
Channel(s)                       : 6 channels
Channel positions                : Front: L C R, Side: L R, LFE
Sampling rate                    : 48.0 KHz
Bit depth                        : 16 bits
Stream size                      : 469 MiB (23%)
Alignment                        : Aligned on interleaves
Interleave, duration             : 32 ms (0.80 video frame)

