69 Wii Games in .wbfs


S2EE41	ABBA You Can Dance 
S5BETL	Back to the Future The Game 
SA6EG9	Ben 10 Galactic Racing 
RYWP01	Big Brain Academy Wii Degree 
RBBE18	Bomberman Land 
SC7E52	Call of Duty Black Ops 
SCAE18	CALLING 
SFQP8P	Captain America Super Soldier 
SCYP4Q	Cars 2 
SC2P8P	Conduit 2 
SECP69	CREATE 
SDBP78	de Blob 2 
SEME4Q	Disney Epic Mickey 
SDFE4Q	Disney Sing It Family Hits 
SDXP4Q	DisneyU 
SF8E01	Donkey Kong Country Returns 
SFGE69	Family Game Night 4 
SFYEG9	Family Party 90 Great Games Party Pack 
RJIP6M	Ferrari The Race Experience 
SI3X69	FIFA 12 
SGYPNJ	GOLF 
RTAP41	H A W X 2 
SHXPWR	Happy Feet 2 
SH5E69	Harry Potter and the Deathly Hallows Part 2 
SHKPNQ	Hello Kitty Seasons 
SJBP52	James Bond Golden Eye 
SJDE41	Just Dance 3 
RK5E01	Kirby s Epic Yarn 
SUKE01	Kirby Wii 
SKUP78	Kung Fu Panda 2 EU 
SLHPWR	LEGO Harry2 
SCJP4Q	LEGO Pirates 
RM8P01	Mario Party 8 
SIIP8P	MARIO SONIC AT THE LONDON 2012 OLYMPIC GAMES 
RMKP01	MARIO SPORTS MIX 
SMOP41	MICHAEL JACKSON THE EXPERIENCE 
S75P69	MonopolyStreets 
RMHE08	Monster Hunter Tri 
SNSE52	NASCAR The Game 2011 
SNQPLG	NatGeo 
S2QP54	NBA 2K12 
R7XP69	NFS Montreal 
SNHP69	NFS11 
SNVP69	NFSTheRun 
SMFE4Q	Phineas and Ferb Across the 2nd Dimension 
SRGP69	Rango 
RY2P41	Rayman Raving Rabbids 2 
RD2X41	Red Steel 2 
SRIP78	Rio 
R7AP69	SA2 
SSFPKM	Sing The Hits 
SSNPHY	Sniper Elite 
RSRP8P	SONIC AND THE SECRET RINGS 
SNCE8P	Sonic Colors 
RQOP69	Spore Hero 
SVMP01	super mario collection 
SEPZ41	THE BEP EXPERIENCE SE 
SOUE01	The Legend of Zelda Skyward Sword 
S3ME69	The Sims 3 
STXE69	Tiger Woods PGA Tour 12 Masters 
RWLP01	Wario Land The Shake Dimension 
RODP01	WarioWare Smooth Moves 
SILP78	Wbi 
SDSPNG	We Dance 
SMCPXT	We Wish You A Merry Christmas 
RWCP6M	Williams Pinball Classics 
RW5P41	WWTBAM 2008 
SX4P01	Xenoblade Chronicles 
SZ5E5G	Zumba 
