Season 2 (22 episodes)

1.  Episode 1    Where Were We?
2.  Episode 2    The Scorpion and the Toad
3.  Episode 3    Brunch
4.  Episode 4    Ted Mosby, Architect
5.  Episode 5    World\\\'s Greatest Couple
6.  Episode 6    Aldrin Justice
7.  Episode 7    Swarley
8.  Episode 8    Atlantic City
9.  Episode 9    Slap Bet
10. Episode 10   Single Stamina
11. Episode 11   How Lily Stole Christmas
12. Episode 12   First Time in New York
13. Episode 13   Columns
14. Episode 14   Monday Night Football
15. Episode 15   Lucky Penny
16. Episode 16   Stuff
17. Episode 17   Arrivederci, Fiero
18. Episode 18   Moving Day
19. Episode 19   Bachelor Party
20. Episode 20   Showdown
21. Episode 21   Something Borrowed
22. Episode 22   Something Blue
