A collection of forty-nine different Nine Inch Nails remixes, from a variety of sources, including remix.nin.com and nin.com. 

Happy listening, and please seed to share the pleasure. :)


Adrift & Slipping Into The Void              ac1dfr3ak
Adrift In A Warm Place                       ninhurt
All The Love In The World                    TweakerRay
Another Version Of The Truth                 Absolute Zero
Beyond This Twilight                         Stephan Carroll
BURN (You Stupid B1tch)                      TweakerRay
Discipline                                   Binary Audio
Discipline                                   Billy Tsou
Discipline                                   Indefinite Cure
Echoplex                                     Dead Errant Soul
Echoplex                                     TweakerRay
Every Day Is Exactly The Same (Edit)         Nine Inch Nails
Finally, A Good Soldier (A Bitter Truth)     Knoxband
Happiness in Slavery (PK Slavery Mix)        Nine Inch Nails
Head Down                                    crashtv
In This Twilight                             Nostalgia
In This Twilight (Black and White Dance)     TweakerRay
In This Twilight (Night Descends)            Christopher Hoag
In This Twilight (Pulse Wave)                Binary Audio
In This Twilight (The Stars And I Collide)   Absolute Zero
Last                                         Butch Vig
Lights In The Sky (Reflecting RMX)           TweakerRay
Love Is Not Enough                           Binary Audio
My Violent Heart (Let Me In)                 Halo33
Only 26 Disciplined Ghosts                   Nine Inch Nails
Only                                         Billy Tsou
Problems Have Solutions                      TweakerRay
Slipping Away                                Nine Inch Nails
Suck                                         TweakerRay
Survivalism                                  TweakerRay
Survivalism (Megatron Edit)                  Binary Audio
Survivalism (Orchestral Destruction)         Sascha Koerte
Survivalism (Reshuffled)                     Billy Tsou
The Beginning Of The End                     Pasqui
The Distant Mix - TDTWWA                     BSOD
The Fragile (deconstructed)                  Nine Inch Nails
The Good Soldier (Believes in Peace)         TweakerRay
The Great Destroyer (Dark Star)              Binary Audio
The Great Destroyer                          TweakerRay
The Perfect Drug                             Binary Audio
The Perfect Drug (Green Dream)               TweakerRay
The Warning (wiped clean)                    TweakerRay
Vessel (Polite)                              TweakerRay
Zero Sum                                     TweakerRay
The Great Destroyer                          modwheelmood
Gone, Still (electronic)                     Some Other Reaps
Swoon Radiata (Ache remix)                   Nine Inch Nails
Dualistic Dymentia                           CRK
Home (Bonus Track from With Teeth)           Nine Inch Nails
     
