Sanatci: Teoman & Bulent Ortacgil / Album: Konser
Yil: 2007 / Tarz: Acoustic 
Toplam Parca: 16 / Toplam Sure: 01:16:50
01. Sevgi	[Gizli] 05:26
02. Benimle Oynar misin?	03:11
03. Mavi Kus	04:33
04. Paramparca	04:58
05. Degirmenler	04:46
06. Sensiz Olmaz	06:25
07. Istasyon Insanlari	05:08
08. Eylul Aksami	06:20
09. Sessiz Eller	04:15
10. Ask Nereye Kadar?	04:02
11. Ruzgar Gulu	03:52
12. Yuzunu Dokme Kucuk Kiz	03:15
13. Yollar	03:26
14. Yagmur	04:03
15. Zampara - Bir Tek Sen Yalani (Medley)	07:43
16. Olmali mi Olmamali mi?	05:27
