(Mp3 - 256kbps)

Artist: Immortal Technique

Album: Revolutionary Vol. 2



Track		Title				Duration


1 		Intro 				0:12 	
2 		The Point Of No Return 		4:00 	
3 		Peruvian Cocaine 		4:47 	
4 		Harlem Streets 			3:51 	
5 		Obnoxious 			4:48 	
6 		The Message and The Money 	3:54 	
7 		Industrial Revolution 		3:37 	
8 		Crossing the Boundary 		4:46 	
9 		Sierra Maestra 			0:47 	
10 		The 4th Branch 			5:17 	
11 		Internally Bleeding 		2:44 	
12 		Homeland and Hiphop 		2:44 	
13 		The Cause of Death 		5:51 	
14 		Freedom of Speech 		3:06 	
15 		Leaving the Past 		4:27 	
16 		Truths Razors 			0:19 	
17 		You Never Know 			7:46 	
18 		One Remix 			4:35	
