The First Season Of Chuck. Good Quality on all eps, and seeding would be nice.

Episode          Airdate     Title

1-01             24/Sep/07   Pilot
1-02             01/Oct/07   Chuck Versus the Helicopter
1-03             08/Oct/07   Chuck Versus the Tango
1-04             15/Oct/07   Chuck Versus the Wookiee
1-05             22/Oct/07   Chuck Versus the Sizzling Shrimp
1-06             29/Oct/07   Chuck Versus the Sandworm
1-07             05/Nov/07   Chuck Versus the Alma Mater
1-08             12/Nov/07   Chuck Versus the Truth 
1-09             19/Nov/07   Chuck Versus the Imported Hard Salami
1-10             26/Nov/07   Chuck Versus the Nemesis 
1-11             03/Dec/07   Chuck Versus the Crown Vic 
1-12             24/Jan/08   Chuck Versus the Undercover Lover 
1-13             24/Jan/08   Chuck Versus the Marlin 

