International edition


No.	Title	Producer(s)	Length
1.	"Dynamite"  	Dr. Luke, Benny Blanco	3:24
2.	"Break Your Heart" (feat. Ludacris)	Taio Cruz, Fraser T. Smith	3:06
3.	"Dirty Picture" (feat. Kesha)	Taio Cruz, Fraser T. Smith	3:39
4.	"Take Me Back"  	Fraser T. Smith	3:12
5.	"I'll Never Love Again"  	Taio Cruz	3:49
6.	"I Can Be"  	Taio Cruz	3:47
7.	"No Other One"  	Taio Cruz, Fraser T. Smith	3:37
8.	"Come On Girl" (feat. Luciana)	Taio Cruz	3:33
9.	"Falling in Love"  	Taio Cruz, Alan English	3:32
10.	"Higher"  	Sandy Vee, Taio Cruz	3:08
11.	"Feel Again" (Bonus Track)	Taio Cruz, Alan English	3:39
