User Type,Username,Date,Text
,wimr,2011-07-23T10:45Z,"Thanks, fantastic program."
,alex7ask,2011-07-27T08:45Z,great software and necessary for a good working mac. thanks so soo muchhh CORE!!!
,Kenucho31,2011-08-06T23:49Z,Well done very good upload works well the only thing is that you have to try like two times to get a valid code from the keygen
,MPAAss,2011-08-19T19:36Z,"Thanks for the upload, but...

DON'T DOWNLOAD THIS. IT BROKE MY LION OSX MAC. NOW I NEED TO REINSTALL OSX.

THE STUPID PROGRAM PROBABLY DELETED SOME FILES IT WASN'T MEANT TO.

FUCK YOU MACPAW."
,nomimanni,2011-09-28T02:38Z,"First of all: @MPAAss, Don't post shit like this, you have no idea what you're talking about, I also doubt this fucked your Lion, mine's still perfect, question is... What did you do to it to fuck it??!!
@pirate0610, great program, 100% clean, 100% working, keygen works perfectly. Great torrent, thanks heaps man!!! :)"
,mxyzptik,2011-10-01T10:47Z,"Great, works a treat - 100% - no problem downloading the latest update too.

I wasn't sure how to install it (being technically-illiterate compared to so many here).  But after blindly clicking on all the files, and using Stuffit and Unarchiver to open them ... BINGO!! :)

Thanks pirate610, you certainly earnt your skull and crossbones."
,xhurley45z,2011-10-09T00:32Z,it wont open through my mac..core only opens through parallels on windows..why is that?
,gruntworker,2011-10-13T20:45Z,"Does work, thanks - but strangely convoluted - all kinds of things to unpack and click on until you find the one dmg that doesn't load, one that loads the program and one that loads the keygen. 
"
,Miskin100,2011-10-14T18:16Z,I couldn't make it work even after I opened it with UnrarX. 
,sannemor,2011-10-20T17:37Z,It is a RAR file? doesn't work on macs?? I've tried UnrarX and that just fucked it up...any1? :S
,jonpavlic,2011-12-24T16:17Z,Put part1.rar and part2.rar files into the same folder then open with unarchiver. core_keygen.dmg is for key. Rest is garbage
