Release Date: 1993
Label: Warner Bros.
Bitrate: 320kbps

-----------------------------------------------------------------------------------
 #  Title                                  Composer                            Time
-----------------------------------------------------------------------------------
 1  The Big Picture                                                            1:31
 2  Don't Let Go                                                               3:29
 3  Hard Times                                                                 3:53
 4  A Little Closer                                                            4:03
 5  Riding Shotgun                                                             4:22
 6  Feeling's Got to Stay                                                      4:28
 7  She's On                                                                   4:14
 8  I Still Believe                                                            1:28
 9  Come Alive                                                                 3:51
10  Quick Change World                                                         4:11
11  What's on TV                                                               4:54
12  Hopped Up                                                                  5:00
13  Help Me Find America                                                       5:30
 
http://www.allmusic.com/album/quick-change-world-r169247
