User Type,Username,Date,Text
,master_b415,2012-05-29T22:21Z,iMDB: http://www.imdb.com/title/tt1613062/
.....: 720p.BluRay.x264-SPARKS
Container............: AVI
Length...............: 1 hour 44 minutes 
Size.................: 2.89 GiB

Codec................: AC-3
Bitrate..............: 448 Kbps
kHz/bit..............: 48.0 KHz / 16 bits
Channels.............: 6
Language.............: ENGLiSH
Subtitles............: N/A 

Codec................: XviD
Type.................: 720p
Resolution...........: 1280x536
Aspect Ratio.........: 2.40:1
Bitrate..............: 3 499 Kbps
Framerate............: 23.976 FPS
Bits/(Pixel*Frame)...: 0.213"
