Artist : Django Reinhardt
Album  : Accords Parfaits (2000,Compilation)


1. Minor Swing	                                2:38
2. Nuages	                                4:03
3. Djangology                                   2:44
4. Beyond The Sea (La Mer)	                4:16
5. Swing 39	                                2:30
6. Menilmontant                          	3:03
7. Swing 42                              	3:25
8. September Song	                        2:54
9. Swing Guitars	                        2:50
10. All The Things You Are	                2:50
11. Daphne	                                2:21
12. Django Castle (Le Manoir De Mes R̻ves)	3:18
13. Les Yeux Noirs                              3:08
14. Louise	                                2:27
15. Belleville	                                2:30
16. Stormy Weather	                        4:10
17. I Got Rhythm	                        2:42
18. After You've Gone	                        3:01
19. Lover Man (Oh, Where Can You Be?)	        3:09
20. Honeysuckle Rose	                        3:59
21. Dream Of You	                        2:56
22. It's Only A Paper Moon	                2:49
23. Hallelujah	                                3:04
24. Saint Louis Blues                     	4:07
