User Type,Username,Date,Text
[T],MovieNight,2012-01-08T22:05Z,"Hoi Luuk

Eraser Head , Far from Heaven , JFK en Paths of Glory gaat niet lukken  de rest wel meschien heeft KW ze "
e hopelijk kunt inwilligen:

big (penny marshall, 1988)
eraserhead (david lynch, 1978)
far from heaven (todd haynes, 2002)
jfk (oliver stone, 1991)
local hero (bill forsyth, 1983)
on the waterfront (elia kazan, 1954)
paths of glory (stanley kubrick, 1957)
the texas chain saw massacre (tobe hooper, 1974)
tootsie (sydney pollack, 1982)
vertigo (alfred hitchcock, 1958)

alvast bedankt"
