46 New songs from a new artist


Filename	Track #	Title	Artist	Album	Year	Genre	Comment	Composer	Bitrate	Freq	Duration	Size	Disc #
Audiobration - Alibi.mp3		Alibi	Audiobration	Audiobration	2012	Rock	No Comment	Audiobration	192	44100	0:05:26	5 Mb	
Audiobration - Bamboo.mp3		Bamboo	Audiobration	Audiobration	2012	Rock	No Comment	Audiobration	192	44100	0:05:18	7.3 Mb	
Audiobration - Be Free (Fields of Change).mp3		Be Free (Fields of Change)	Audiobration	Audiobration	2012	Rock	No Comment	Audiobration	192	44100	0:03:49	5.3 Mb	
Audiobration - Beautiful Smile.mp3		Beautiful Smile	Audiobration	Audiobration	2012	Rock	No Comment	Audiobration	192	44100	0:05:11	3.6 Mb	
Audiobration - Blue Acoustic Hills.mp3		Blue Acoustic Hills	Audiobration	Audiobration	2012	Rock	No Comment	Audiobration	192	44100	:04:07 am	4.3 Mb	
Audiobration - Blue Hills.mp3		Blue Hills	Audiobration	Audiobration	2012	Acoustic	No Comment	Audiobration	192	44100	0:03:12	2.9 Mb	
Audiobration - Bounce.mp3		Bounce	Audiobration	Audiobration	2012	Rock	No Comment	Audiobration	192	44100	0:05:20	5.6	
Audiobration - Do You Love Her.mp3		Do You Love Her	Audiobration	Audiobration	2012	Rock	No Comment	Audiobration	192	44100	0:03:32	3.2 Mb	
Audiobration - Ghost Town.mp3		Ghost Town	Audiobration	Audiobration	2012	Rock	No Comment	Audiobration	192	44100	0:05:21	4.9 Mb	
Audiobration - Hard to be Alone.mp3		Hard to be Alone	Audiobration	Audiobration	2012	Rock	No Comment	Audiobration	192	44100	0:03:36	2.5 Mb	
Audiobration - Heavy Water Sabotage.mp3		Heavy Water Sabotage	Audiobration	Audiobration	2012	Rock	No Comment	Audiobration	192	44100	0:05:21	7.4 Mb	
Audiobration - Hey Hey.mp3		First Song	Audiobration	Audiobration	2012	Rock	No Comment	Audiobration	192	44100	0:07:39	5.3 Mb	
Audiobration - If I Could Go Home.mp3		Fourth Song	Audiobration	Audiobration	2012	Rock	No Comment	Audiobration	192	44100	0:05:51	4 Mb	
Audiobration - If It Were Up to Me.mp3		If It Were Up to Me	Audiobration	Audiobration	2012	Rock	No Comment	Audiobration	192	44100	0:02:54	2.7 Mb	
Audiobration - Intro.mp3		Intro	Audiobration	Audiobration	2012	Rock	No Comment	Audiobration	192	44100	0:00:52	1.2 Mb	
Audiobration - Laughing Off My Head.mp3		Laughing Off My Head	Audiobration	Audiobration	2012	Alternative	No Comment	Audiobration	192	44100	0:02:51	2.6 Mb	
"Audiobration - Love, Love Lady Luck One.mp3"		"Love, Love Lady Luck One"	Audiobration	Audiobration	2012	Rock	No Comment	Audiobration	192	44100	0:03:44	5.1 Mb	
"Audiobration - Love, Love Lady Luck Two.mp3"		"Love, Love Lady Luck Two"	Audiobration	Audiobration	2012	Rock	No Comment	Audiobration	192	44100	0:03:45	3.4 Mb	
Audiobration - Magic for the Maker.mp3		Magic for the Maker	Audiobration	Audiobration	2012	Rock	No Comment	Audiobration	192	44100	0:04:59	3.4 Mb	
Audiobration - Moon.mp3		Moon	Audiobration	Audiobration	2012	Rock	No Comment	Audiobration	192	44100	0:05:25	3.7 Mb	
Audiobration - No Surprise.mp3		No Surprise	Audiobration	Audiobration	2012	Rock	No Comment	Audiobration	192	44100	0:02:18	3.2 Mb	
Audiobration - Pipeline.mp3		Pipeline	Audiobration	Audiobration	2012	Rock	No Comment	Audiobration	192	44100	0:02:35	3.6 Mb	
Audiobration - Send.mp3		Send	Audiobration	Audiobration	2012	Rock	No Comment	Audiobration	192	44100	0:03:57	4.5 Mb	
Audiobration - Shake Your Tambourines.mp3		Shake Your Tambourines	Audiobration	Audiobration	2012	Rock	No Comment	Audiobration	192	44100	0:03:23	3.9 Mb	
Audiobration - Shine On.mp3		Shine On	Audiobration	Audiobration	2012	Alternative	No Comment	Audiobration	192	44100	0:04:06	3.8 Mb	
Audiobration - So What Do You Say.mp3		Eighth Song	Audiobration	Audiobration	2012	Rock	No Comment	Audiobration	192	44100	0:04:51	3.3 Mb	
Audiobration - Stars.mp3		Stars	Audiobration	Audiobration	2012	Rock	No Comment	Audiobration	192	44100	0:05:01	3.5 Mb	
Audiobration - Sunday Afternoon.mp3		Sunday Afternoon	Audiobration	Audiobration	2012	Rock	No Comment	Audiobration	192	44100	0:03:41	5.1 Mb	
Audiobration - Taking the Train.mp3		Taking the Train	Audiobration	Audiobration	2012	Rock	No Comment	Audiobration	192	44100	0:03:24	4.7 Mb	
Audiobration - Tenth Song.mp3		Tenth Song	Audiobration	Audiobration	2012	Rock	No Comment	Audiobration	192	44100	0:04:23	3 Mb	
Audiobration - Text Message Baby.mp3		Text Message Baby	Audiobration	Audiobration	2012	Hip-Hop			192	44100	0:02:55	6.7 Mb	
Audiobration - Third Song.mp3		Third Song	Audiobration	Audiobration	2012	Rock	No Comment	Audiobration	192	44100	0:05:29	3.8 Mb	
Audiobration - This Time.mp3		This Time	Audiobration	Audiobration	2012	Rock	No Comment	Audiobration	192	44100	0:05:30	3.8 Mb	
Audiobration - Touch of a Pistol.mp3		Touch of a Pistol	Audiobration	Audiobration	2012	Rock	No Comment	Audiobration	192	44100	0:03:07	4.3 Mb	
Audiobration - Trouble.mp3		Trouble	Audiobration	Audiobration	2012	Rock	No Comment	Audiobration	192	44100	0:02:57	4.1 Mb	
Audiobration - Twacked Version of Midnight.mp3		Twacked Version of Midnight	Audiobration	Audiobration	2012	Rock	No Comment	Audiobration	192	44100	0:04:27	6.1 Mb	
Audiobration - Up to the End.mp3		Up to the End	Audiobration	Audiobration	2012	Rock	No Comment	Audiobration	192	44100	0:04:27	4.1 Mb	
Audiobration - Wandering	Wandering J	Audiobration	Audiobration	2012	Rock	No Comment	Audiobration	192	44100	0:02:48	3.9 Mb	
Audiobration - Wanna Know Something That You Don't Know.mp3		Sixth Song	Audiobration	Audiobration	2012	Rock	No Comment	Audiobration	192	44100	0:03:51	2.7 Mb	
"Audiobration - We, The Kings of Everything.mp3"		"We, The Kings of Everything"	Audiobration	Audiobration	2012	Rock	No Comment	Audiobration	192	44100	0:02:49	3.2 Mb	
Audiobration - West Side.mp3		West Side	Audiobration	Audiobration	2012	Rock	No Comment	Audiobration	192	44100	0:04:13	3.9 Mb	
Audiobration - What You and Me Can Do.mp3		What You and Me Can Do	Audiobration	Audiobration	2012	Rock	No Comment	Audiobration	192	44100	0:02:55	2.7 Mb	
Audiobration - What You Got for Me.mp3		What You Got for Me	Audiobration	Audiobration	2012	Rock	No Comment	Audiobration	192	44100	0:02:33	2.9 Mb	
Audiobration - You.mp3		You	Audiobration	Audiobration	2012	Rock	No Comment	Audiobration	192	44100	0:04:44	6.5 Mb	
Audiobration - You're Beautiful.mp3		Fifth Song	Audiobration	Audiobration	2012	Rock	No Comment	Audiobration	192	44100	0:05:28	3.8 Mb	
Audiobration - You're Living.mp3		You're Living	Audiobration	Audiobration	2012	Rock	No Comment	Audiobration	192	44100	0:05:28	5.4 Mb	
													
