Seeds by Dreamhack
==================================================================================
Info
==================================================================================
Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equaliser	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Acqua	Jhonny And Peps	Giuseppe Genovese & Antonino Genovese	Music Expressions Volume 1		Dance	12720488	382	1	1	1	10	2009	06/06/2011 9:41 PM	06/06/2011 9:34 PM	256	44100		Purchased AAC audio file			5	17/06/2011 3:14 PM	3	17/06/2011 5:15 PM	100	C:\Users\SimbA\Music\iTunes\iTunes Media\Music\Compilations\Music Expressions Volume 1\01 Acqua.m4a
Boomalek	Thomas Schwartz	Fausto Fanizza & Thomas Schwartz	Music Expressions Volume 1		Dance	13526503	405	1	1	3	10	2009	06/06/2011 9:42 PM	06/06/2011 9:34 PM	256	44100		Purchased AAC audio file			5	17/06/2011 2:30 PM	1		100	C:\Users\SimbA\Music\iTunes\iTunes Media\Music\Compilations\Music Expressions Volume 1\03 Boomalek.m4a
Dirty Disco Queen (Original Mix)	Fausto Fanizza and Thomas Schwartz	Tomas Schwartz & Fausto Fanizza	Music Expressions Volume 1		Dance	14047886	425	1	1	7	10	2009	06/06/2011 9:43 PM	06/06/2011 9:34 PM	256	44100		Purchased AAC audio file		(Original Mix)	2	17/06/2011 2:05 PM	2	17/06/2011 5:15 PM	100	C:\Users\SimbA\Music\iTunes\iTunes Media\Music\Compilations\Music Expressions Volume 1\07 Dirty Disco Queen (Original Mix).m4a
Heatwave (Luigi Lusini remix)	Starchaser	Thomas Schwartz & Fausto Fanizza	Music Expressions Volume 1		Dance	13753691	422	1	1	6	10	2009	06/06/2011 9:43 PM	06/06/2011 9:34 PM	256	44100		Purchased AAC audio file		(Luigi Lusini remix)	3	17/06/2011 3:08 PM	5	17/06/2011 5:15 PM	80	C:\Users\SimbA\Music\iTunes\iTunes Media\Music\Compilations\Music Expressions Volume 1\06 Heatwave (Luigi Lusini remix).m4a
I Will Find You	Sara Grimaldi	Thomas Schwartz & Fausto Fanizza	Music Expressions Volume 1		Dance	13289333	404	1	1	5	10	2009	06/06/2011 9:43 PM	06/06/2011 9:34 PM	256	44100		Purchased AAC audio file			4	17/06/2011 2:12 PM	2		80	C:\Users\SimbA\Music\iTunes\iTunes Media\Music\Compilations\Music Expressions Volume 1\05 I Will Find You.m4a
Jupiter Calling (Radio mix)	Thomas Schwartz	Thomas Schwartz & Fausto Fanizza	Music Expressions Volume 1		Dance	6673003	190	1	1	9	10	2009	06/06/2011 9:43 PM	06/06/2011 9:34 PM	256	44100		Purchased AAC audio file		(Radio mix)	12	17/06/2011 5:09 PM			100	C:\Users\SimbA\Music\iTunes\iTunes Media\Music\Compilations\Music Expressions Volume 1\09 Jupiter Calling (Radio mix).m4a
Rings of Saturn	Thomas Schwartz	Thomas Schwartz & Fausto Fanizza	Music Expressions Volume 1		Dance	12198601	363	1	1	8	10	2009	06/06/2011 9:43 PM	06/06/2011 9:34 PM	256	44100		Purchased AAC audio file			4	17/06/2011 1:23 PM			100	C:\Users\SimbA\Music\iTunes\iTunes Media\Music\Compilations\Music Expressions Volume 1\08 Rings of Saturn.m4a
Twilight On Mars	Thomas Schwartz	Fausto Fanizza & Thomas Schwartz	Music Expressions Volume 1		Dance	15714463	466	1	1	2	10	2009	06/06/2011 9:42 PM	06/06/2011 9:34 PM	256	44100		Purchased AAC audio file			5	17/06/2011 2:20 PM			100	C:\Users\SimbA\Music\iTunes\iTunes Media\Music\Compilations\Music Expressions Volume 1\02 Twilight On Mars.m4a
Uranus and Oberon	Thomas Schwartz	Thomas Schwartz & Fausto Fanizza	Music Expressions Volume 1		Dance	14481368	436	1	1	10	10	2009	06/06/2011 9:43 PM	06/06/2011 9:34 PM	256	44100		Purchased AAC audio file			3	17/06/2011 1:58 PM	1		100	C:\Users\SimbA\Music\iTunes\iTunes Media\Music\Compilations\Music Expressions Volume 1\10 Uranus and Oberon.m4a
Walls of Science	Black Spider	Thomas Schwartz	Music Expressions Volume 1		Dance	16221590	497	1	1	4	10	2009	06/06/2011 9:42 PM	06/06/2011 9:34 PM	256	44100		Purchased AAC audio file			4	17/06/2011 3:01 PM	3		100	C:\Users\SimbA\Music\iTunes\iTunes Media\Music\Compilations\Music Expressions Volume 1\04 Walls of Science.m4a

==================================================================================
