Filename,Size,Unit
11-17-70/06 Burn Down The MissionMy Baby Left MeGet Back.m4a,99.6,M
11-17-70/01 Take Me To The Pilot.m4a,34.79,M
11-17-70/03 Sixty Years On.m4a,32.65,M
11-17-70/04 Can I Put You On.m4a,32.54,M
11-17-70/05 Bad Side Of The Moon.m4a,24.36,M
11-17-70/02 Honky Tonk.m4a,22.97,M
11-17-70/folder.jpg,3.7,K
21 At 33/04 Two Rooms At The End Of The World.m4a,35.68,M
21 At 33/01 Chasing The Crown.m4a,34.96,M
21 At 33/09 Give Me The Love.m4a,32.42,M
21 At 33/02 Little Jeanie.m4a,30.35,M
21 At 33/05 White Lady White Powder.m4a,27.72,M
21 At 33/03 Sartorial Eloquence.m4a,27.24,M
21 At 33/08 Take Me Back.m4a,23.09,M
21 At 33/07 Never Gonna Fall In Love Again.m4a,22.76,M
21 At 33/06 Dear God.m4a,21.27,M
21 At 33/folder.jpg,6.73,K
A Single Man/05 It Ain't Gonna Be Easy.m4a,49.71,M
A Single Man/09 Madness.m4a,38.73,M
A Single Man/11 Song For Guy.m4a,37.75,M
A Single Man/03 I Don't Care.m4a,30.07,M
A Single Man/07 Georgia.m4a,27.86,M
A Single Man/02 Return To Paradise.m4a,27.09,M
A Single Man/04 Big Dipper.m4a,25.26,M
A Single Man/06 Part Time Love.m4a,21.45,M
A Single Man/01 Shine On Through.m4a,17.81,M
A Single Man/08 Shooting Star.m4a,14.72,M
A Single Man/10 Reverie.m4a,2.66,M
A Single Man/folder.jpg,27.22,K
Aida/14 Enchantment Passing Through.m4a,39.89,M
Aida/05 I Know The Truth.m4a,35.63,M
Aida/03 Easy As Life.m4a,35.5,M
Aida/12 The Messenger.m4a,33.26,M
Aida/06 Not Me.m4a,31.87,M
Aida/04 My Strongest Suit.m4a,31.39,M
Aida/08 A Step Too Far.m4a,31.21,M
Aida/13 The Gods Love Nubia.m4a,31.08,M
Aida/02 Written In The Stars.m4a,28.67,M
Aida/09 Like Father Like Son.m4a,27.99,M
Aida/01 Another Pyramid.m4a,27.16,M
Aida/10 Elaborate Lives.m4a,26.07,M
Aida/15 Orchestral Finale.m4a,21.26,M
Aida/11 How I Know You.m4a,19.34,M
Aida/07 Amneris' Letter.m4a,8.81,M
Aida/folder.jpg,10.71,K
Blue Moves/15 Bite Your Lip.m4a,49.33,M
Blue Moves/02 Tonight.m4a,41.34,M
Blue Moves/03 One Horse Town.m4a,38.32,M
Blue Moves/05 Boogie Pilgrim.m4a,37.92,M
Blue Moves/07 Crazy Water.m4a,37.84,M
Blue Moves/09 Between Seventeen & Twenty.m4a,35.63,M
Blue Moves/04 Chameleon.m4a,31.65,M
Blue Moves/12 If There's A God In Heaven.m4a,29.89,M
Blue Moves/13 Idol.m4a,22.89,M
Blue Moves/11 Where's The Shoorah.m4a,22.6,M
Blue Moves/10 Someone's Final Song.m4a,20.88,M
Blue Moves/08 Sorry Seems To Be The Hardest Word.m4a,19.86,M
Blue Moves/06 Cage The Songbird.m4a,19.7,M
Blue Moves/14 Theme From A Non-Existent Tv Series.m4a,9.01,M
Blue Moves/01 Your Starter For.m4a,8.69,M
Blue Moves/folder.jpg,32.35,K
Breaking Hearts/01 Restless.m4a,34.69,M
Breaking Hearts/10 Sad Songs (Say So Much).m4a,30.46,M
Breaking Hearts/03 Who Wears These Shoes.m4a,26.58,M
Breaking Hearts/02 Slow Down Georgie (She's Poison).m4a,25.93,M
Breaking Hearts/07 In Neon.m4a,25.59,M
Breaking Hearts/05 Li'l 'frigerator.m4a,23.75,M
Breaking Hearts/08 Burning Buildings.m4a,23.24,M
Breaking Hearts/09 Did He Shoot Her.m4a,22.22,M
Breaking Hearts/06 Passengers.m4a,21.14,M
Breaking Hearts/04 Breaking Hearts (Ain't What It Used To Be).m4a,17.45,M
Breaking Hearts/folder.jpg,11.74,K
Captain Fantastic and the Brown Dirt Cowboy/09 We All Fall In Love Sometimescurtains.m4a,55.07,M
Captain Fantastic and the Brown Dirt Cowboy/05 Someone Saved My Life Tonight.m4a,39.7,M
Captain Fantastic and the Brown Dirt Cowboy/01 Captain Fantastic And The Brown Dirt Cowboy.m4a,33.79,M
Captain Fantastic and the Brown Dirt Cowboy/04 Tell Me When The Whistle Blows.m4a,29.08,M
Captain Fantastic and the Brown Dirt Cowboy/02 Tower Of Babel.m4a,26.2,M
Captain Fantastic and the Brown Dirt Cowboy/03 Bitter Fingers.m4a,26.01,M
Captain Fantastic and the Brown Dirt Cowboy/06 (Gotta Get A) Meal Ticket.m4a,25.24,M
Captain Fantastic and the Brown Dirt Cowboy/08 Writing.m4a,22.51,M
Captain Fantastic and the Brown Dirt Cowboy/07 Better Off Dead.m4a,14.61,M
Captain Fantastic and the Brown Dirt Cowboy/folder.jpg,47.31,K
Caribou/10 Ticking.m4a,37.55,M
Caribou/06 Your're So Static.m4a,32.73,M
Caribou/08 Stinker.m4a,32.58,M
Caribou/09 Don't Let The Sun Go Down On Me.m4a,32.21,M
Caribou/07 I've Seen The Saucers.m4a,29.77,M
Caribou/01 The Bitch Is Back.m4a,25.35,M
Caribou/03 Grimsby.m4a,25.23,M
Caribou/02 Pinky.m4a,23.69,M
Caribou/04 Dixie Lily.m4a,18.98,M
Caribou/05 Solar Prestige A Gammon.m4a,17.74,M
Caribou/folder.jpg,40.18,K
"Don't Shoot Me, I'm Only The Piano Player/06 Have Mercy On The Criminal.m4a",31.71,M
"Don't Shoot Me, I'm Only The Piano Player/04 Blues For My Baby And Me.m4a",28.81,M
"Don't Shoot Me, I'm Only The Piano Player/02 Teacher I Need You.m4a",24.38,M
"Don't Shoot Me, I'm Only The Piano Player/09 Crocodile Rock.m4a",24.29,M
"Don't Shoot Me, I'm Only The Piano Player/03 Elderberry Wine.m4a",23.38,M
"Don't Shoot Me, I'm Only The Piano Player/10 High-Flying Bird.m4a",23.33,M
"Don't Shoot Me, I'm Only The Piano Player/05 Midnight Creeper.m4a",23.08,M
"Don't Shoot Me, I'm Only The Piano Player/07 I'm Going To Be A Teenage Idol.m4a",22.11,M
"Don't Shoot Me, I'm Only The Piano Player/01 Daniel.m4a",21.37,M
"Don't Shoot Me, I'm Only The Piano Player/08 Texan Love Song.m4a",18.71,M
"Don't Shoot Me, I'm Only The Piano Player/folder.jpg",24.28,K
Duets/03 Little Richard & Elton John  The Power.m4a,48.2,M
Duets/15 George Michael & Elton John  Don't Let The Sun Go Down On Me.m4a,38.11,M
Duets/09 Gladys Knight & Elton John  Go On And On.m4a,37.97,M
Duets/01 K.D. Lang & Elton John  Teardrops.m4a,37.17,M
Duets/10 Rupaul & Elton John  Don't Go Breaking My Heart.m4a,36.82,M
Duets/16 Elton John  Duets For One.m4a,35.09,M
Duets/07 Tammy Wynette & Elton John  A Woman's Needs.m4a,31.59,M
Duets/08 Nik Kershaw & Elton John  Old Friend.m4a,30.43,M
Duets/02 P.M. Dawn & Elton John  When I Think About Love (I Think About You).m4a,29.15,M
Duets/06 Chris Rea & Elton John  If You Were Me.m4a,28.58,M
Duets/04 Don Henley & Elton John  Shakey Ground.m4a,26.52,M
Duets/14 Leonard Cohen & Elton John  Born To Lose.m4a,26.35,M
Duets/13 Bonnie Raitt & Elton John  Love Letters.m4a,25.93,M
Duets/11 Marcella Detroit & Elton John  Ain't Nothing Like The Real Thing.m4a,25.24,M
Duets/12 Paul Young & Elton John  I'm Your Puppet.m4a,23.78,M
Duets/05 Kiki Dee & Elton John  True Love.m4a,23.54,M
Duets/folder.jpg,6.69,K
Elton John/06 Sixty Years On.m4a,25.63,M
Elton John/10 The King Must Die.m4a,24.73,M
Elton John/09 The Cage.m4a,21.21,M
Elton John/05 First Episode At Hienton.m4a,20.43,M
Elton John/03 Take Me To The Pilot.m4a,20.39,M
Elton John/08 The Greatest Discovery.m4a,19.34,M
Elton John/04 No Shoestrings On Louise.m4a,19.28,M
Elton John/01 Your Song.m4a,19.11,M
Elton John/07 Border Song.m4a,17.37,M
Elton John/02 I Need You To Turn To.m4a,11.58,M
Elton John/folder.jpg,3.87,K
Elton John Disc 1/10 The King Must Die.m4a,28.55,M
Elton John Disc 1/05 First Episode At Hienton.m4a,25.27,M
Elton John Disc 1/03 Take Me To The Pilot.m4a,24.44,M
Elton John Disc 1/09 The Cage.m4a,24.38,M
Elton John Disc 1/06 Sixty Years On.m4a,23.97,M
Elton John Disc 1/01 Your Song.m4a,23.31,M
Elton John Disc 1/04 No Shoe Strings On Louise.m4a,23.06,M
Elton John Disc 1/08 The Greatest Discovery.m4a,22.62,M
