User Type,Username,Date,Text
,shallow2,2012-01-27T23:07Z,"US 5278 is up here:

http://thepiratebay.org/torrent/6991095/Requested_-_US-5278_Adrianna_Nicole__Dia_Zerva_vs_Hollie_Stevens

hope Merzedes or anyone else can help you.

@Johnny8204

No luck on any of those 2. sorry."
UltimateSurrender, and thus have not downloaded most of them myself. Sorry.

Find them here:

US-6633	http://thepiratebay.org/torrent/4982273/Cyber_Update_Jun._2009__------US-6633__Annie_Cruz-Claire_Dames

US-6562	http://thepiratebay.org/torrent/4910311/Cyber_Update_May.2009__-------US-6562__Annie_Cruz-Tia_Ling

US-6120	http://thepiratebay.org/torrent/4744984/Cyber_Update_Feb._2009__----US-6120__Annie_Cruz-Bella_Rossi

US-5882	http://thepiratebay.org/torrent/4622878/Cyber_Update_jan.2009__------US-5882__Annie_Cruz-Trina_Michael

US-5274	http://thepiratebay.org/torrent/4408342/Cyber_Update_sep_21_2008__------US-5274-Tagteam-Live.wmv

US-5496	http://thepiratebay.org/torrent/4320664/Cyber_Update_jul_27_2008__-----US-5496-AnnieCruz_Seven.wmv

US-5419	http://thepiratebay.org/torrent/4292263/Cyber_Update_jul_06_2008__-------US-5419-SarahJane_AnnieCruz.w

US-5331	http://thepiratebay.org/torrent/4258607/Cyber_Update_jun_22_2008__------US-5331-AnnieCruz_DiaZerva.wmv

US-5060	http://thepiratebay.org/torrent/4100708/Cyber_Update_mar_16_2008__------US-(5060)_Annie_Cruz-vs-Samant
"
