Crash Unit DDosing application. Hit your friends offline! No virus\'s guaranteed!
 
http://www.virustotal.com/file-scan/report.html?id=6cefd5941f31565cc2b15c5a02d702a630532b40c87a4b806dbf5d124cd27f15-1297127693

Antivirus	Version	Last Update	Result
AhnLab-V3	2011.02.06.00	2011.02.06	-
AntiVir	7.11.2.92	2011.02.07	-
Antiy-AVL	2.0.3.7	2011.01.28	-
Avast	4.8.1351.0	2011.02.07	-
Avast5	5.0.677.0	2011.02.07	-
AVG	10.0.0.1190	2011.02.08	-
BitDefender	7.2	2011.02.08	-
CAT-QuickHeal	11.00	2011.02.07	-
ClamAV	0.96.4.0	2011.02.07	-
Commtouch	5.2.11.5	2011.02.08	-
Comodo	7611	2011.02.07	-
DrWeb	5.0.2.03300	2011.02.08	-
Emsisoft	5.1.0.2	2011.02.07	-
eTrust-Vet	36.1.8145	2011.02.07	-
F-Prot	4.6.2.117	2011.02.04	-
F-Secure	9.0.16160.0	2011.02.07	-
Fortinet	4.2.254.0	2011.02.07	-
GData	21	2011.02.08	-
Ikarus	T3.1.1.97.0	2011.02.07	-
Jiangmin	13.0.900	2011.02.05	-
K7AntiVirus	9.81.3771	2011.02.07	-
Kaspersky	7.0.0.125	2011.02.08	-
McAfee	5.400.0.1158	2011.02.08	-
McAfee-GW-Edition	2010.1C	2011.02.08	-
Microsoft	1.6502	2011.02.07	-
NOD32	5854	2011.02.07	-
Norman	6.07.03	2011.02.07	-
nProtect	2011-01-27.01	2011.02.02	-
Panda	10.0.3.5	2011.02.07	-
PCTools	7.0.3.5	2011.02.07	-
Prevx	3.0	2011.02.08	-
Rising	23.44.00.08	2011.02.07	-
Sophos	4.61.0	2011.02.07	-
SUPERAntiSpyware	4.40.0.1006	2011.02.08	-
Symantec	20101.3.0.103	2011.02.08	-
TheHacker	6.7.0.1.125	2011.02.07	-
TrendMicro	9.200.0.1012	2011.02.07	-
TrendMicro-HouseCall	9.200.0.1012	2011.02.08	-
VBA32	3.12.14.3	2011.02.07	-
VIPRE	8342	2011.02.08	-
ViRobot	2011.2.7.4297	2011.02.07	-
VirusBuster	13.6.187.0	2011.02.07	- 

Download Now!
