Filename,Size,Unit
1. Avenida Revolucion Â,.mp3,6.15,M
1. Last Temptation Â,.mp3,6.23,M
10. Something's Gone Wrong Â,.mp3,5.98,M
10. Turnin' Left Â,.mp3,5.88,M
11. Down the Drain (Live in Phoenix).mp3,6.08,M
11. Future In The Past Â,.mp3,6.23,M
12. Bitten By The Wolf Â,.mp3,5.87,M
12. Oh Yeah (Live in Phoenix).mp3,6.1,M
"2. Alright, Alright Â",.mp3,6.21,M
2. Soap On A Rope Â,.mp3,6.03,M
3. Different Devil Â,.mp3,5.92,M
3. Sexy Little Thing Â,.mp3,6.24,M
4. Oh Yeah Â,.mp3,6.07,M
4. Up Next Â,.mp3,5.89,M
5. Lighten Up Â,.mp3,5.93,M
5. Runnin' Out Â,.mp3,5.9,M
6. Come Closer Â,.mp3,6.1,M
6. Get It Up Â,.mp3,6.2,M
7. Down The Drain Â,.mp3,6.01,M
7. Three and a Half Letters Â,.mp3,6.12,M
8. Big Foot Â,.mp3,6.04,M
8. My Kinda Girl Â,.mp3,6.03,M
9. Dubai Blues Â,.mp3,6.2,M
9. Learning To Fall Â,.mp3,5.88,M
AlbumInfo.nfo,688,B
CoverOfAlbum.jpg,1.16,M
